,uncertainty_noise,trial,whether,how,sufficient,moving,unique
106,0.8,16,1.0,1.0,0.0,1.0,1
107,0.8,17,0.289,1.0,0.027,0.0,0
108,0.8,18,1.0,0.0,1.0,1.0,0
109,0.8,19,0.978,1.0,0.023,1.0,0
110,0.8,20,0.169,1.0,0.19,1.0,1
111,0.8,21,1.0,1.0,1.0,0.0,1
112,0.8,22,0.0,0.0,0.0,1.0,0
113,0.8,23,0.0,0.0,0.0,1.0,0
114,0.8,24,1.0,1.0,0.37,1.0,0
115,0.8,25,1.0,0.0,0.0,1.0,0
116,0.8,26,0.97,1.0,0.028,1.0,1
117,0.8,27,0.816,1.0,0.828,0.0,1
118,0.8,28,0.051,1.0,0.049,1.0,1
119,0.8,29,0.0,0.0,0.0,1.0,0
120,0.9,0,0.0,0.0,0.0,1.0,0
121,0.9,1,0.32,0.0,1.0,1.0,0
122,0.9,2,0.0,1.0,0.0,1.0,1
123,0.9,3,0.333,1.0,0.0,1.0,1
124,0.9,4,0.037,1.0,0.041,1.0,1
125,0.9,5,0.0,1.0,1.0,1.0,1
126,0.9,6,0.0,1.0,1.0,1.0,0
127,0.9,7,0.101,0.0,1.0,1.0,0
128,0.9,8,0.618,1.0,0.0,1.0,0
129,0.9,9,0.785,1.0,0.795,1.0,1
130,0.9,10,0.905,1.0,0.039,1.0,0
131,0.9,11,0.997,1.0,0.001,1.0,0
132,0.9,12,1.0,1.0,1.0,1.0,1
133,0.9,13,1.0,1.0,1.0,1.0,0
134,0.9,14,0.999,1.0,0.999,0.0,1
135,0.9,15,0.999,1.0,0.999,1.0,1
136,0.9,16,1.0,1.0,0.0,1.0,1
137,0.9,17,0.314,1.0,0.036,0.0,0
138,0.9,18,1.0,0.0,1.0,1.0,0
139,0.9,19,0.957,1.0,0.048,1.0,0
140,0.9,20,0.22,1.0,0.241,1.0,1
141,0.9,21,1.0,1.0,1.0,0.0,1
142,0.9,22,0.0,0.0,0.0,1.0,0
143,0.9,23,0.0,0.0,0.0,1.0,0
144,0.9,24,1.0,1.0,0.39,1.0,0
145,0.9,25,1.0,0.0,0.0,1.0,0
146,0.9,26,0.972,1.0,0.037,1.0,1
147,0.9,27,0.81,1.0,0.791,0.0,1
148,0.9,28,0.08,1.0,0.059,1.0,1
149,0.9,29,0.0,0.0,0.0,1.0,0
150,1.0,0,0.0,0.0,0.0,1.0,0
151,1.0,1,0.299,0.0,1.0,1.0,0
152,1.0,2,0.0,1.0,0.0,1.0,1
153,1.0,3,0.399,1.0,0.0,1.0,1
154,1.0,4,0.063,1.0,0.06,1.0,1
155,1.0,5,0.0,1.0,1.0,1.0,1
156,1.0,6,0.0,1.0,1.0,1.0,0
157,1.0,7,0.111,0.0,1.0,1.0,0
158,1.0,8,0.583,1.0,0.0,1.0,0
159,1.0,9,0.762,1.0,0.759,1.0,1
160,1.0,10,0.88,1.0,0.059,1.0,0
161,1.0,11,0.997,1.0,0.003,1.0,0
162,1.0,12,1.0,1.0,1.0,1.0,1
163,1.0,13,1.0,1.0,1.0,1.0,0
164,1.0,14,0.999,1.0,0.999,0.0,1
165,1.0,15,0.998,1.0,0.995,1.0,1
166,1.0,16,1.0,1.0,0.0,1.0,1
167,1.0,17,0.311,1.0,0.05,0.0,0
168,1.0,18,1.0,0.0,1.0,1.0,0
169,1.0,19,0.951,1.0,0.047,1.0,0
170,1.0,20,0.289,1.0,0.277,1.0,1
171,1.0,21,1.0,1.0,1.0,0.0,1
172,1.0,22,0.0,0.0,0.0,1.0,0
173,1.0,23,0.0,0.0,0.0,1.0,0
174,1.0,24,1.0,1.0,0.396,1.0,0
175,1.0,25,1.0,0.0,0.0,1.0,0
176,1.0,26,0.955,1.0,0.044,1.0,1
177,1.0,27,0.8,1.0,0.769,0.0,1
178,1.0,28,0.092,1.0,0.098,1.0,1
179,1.0,29,0.0,0.0,0.0,1.0,0
180,1.1,0,0.0,0.0,0.0,1.0,0
181,1.1,1,0.352,0.0,1.0,1.0,0
182,1.1,2,0.0,1.0,0.0,1.0,1
183,1.1,3,0.44,1.0,0.0,1.0,1
184,1.1,4,0.094,1.0,0.09,1.0,1
185,1.1,5,0.0,1.0,1.0,1.0,1
186,1.1,6,0.0,1.0,0.999,1.0,0
187,1.1,7,0.113,0.0,1.0,1.0,0
188,1.1,8,0.568,1.0,0.0,1.0,0
189,1.1,9,0.747,1.0,0.75,1.0,1
190,1.1,10,0.876,1.0,0.077,1.0,0
191,1.1,11,0.991,1.0,0.006,1.0,0
192,1.1,12,1.0,1.0,1.0,1.0,1
193,1.1,13,1.0,1.0,1.0,1.0,0
194,1.1,14,0.998,1.0,0.998,0.0,1
195,1.1,15,0.994,1.0,0.991,1.0,1
196,1.1,16,1.0,1.0,0.0,1.0,1
197,1.1,17,0.349,1.0,0.046,0.0,0
198,1.1,18,1.0,0.0,1.0,1.0,0
199,1.1,19,0.915,1.0,0.059,1.0,0
200,1.1,20,0.34,1.0,0.334,1.0,1
201,1.1,21,1.0,1.0,1.0,0.0,1
202,1.1,22,0.0,0.0,0.0,1.0,0
203,1.1,23,0.0,0.0,0.0,1.0,0
204,1.1,24,1.0,1.0,0.408,1.0,0
205,1.1,25,1.0,0.0,0.0,1.0,0
206,1.1,26,0.926,1.0,0.065,1.0,1
207,1.1,27,0.751,1.0,0.743,0.0,1
208,1.1,28,0.165,1.0,0.133,1.0,1
209,1.1,29,0.0,0.0,0.0,1.0,0
210,1.2,0,0.0,0.0,0.0,1.0,0
211,1.2,1,0.322,0.0,1.0,1.0,0
212,1.2,2,0.0,1.0,0.0,1.0,1
213,1.2,3,0.474,1.0,0.0,1.0,1
214,1.2,4,0.103,1.0,0.108,1.0,1
215,1.2,5,0.0,1.0,1.0,1.0,1
216,1.2,6,0.002,1.0,0.999,1.0,0
217,1.2,7,0.135,0.0,1.0,1.0,0
218,1.2,8,0.599,1.0,0.0,1.0,0
219,1.2,9,0.744,1.0,0.738,1.0,1
220,1.2,10,0.892,1.0,0.072,1.0,0
221,1.2,11,0.985,1.0,0.003,1.0,0
222,1.2,12,1.0,1.0,1.0,1.0,1
223,1.2,13,1.0,1.0,1.0,1.0,0
224,1.2,14,0.994,1.0,0.986,0.0,1
225,1.2,15,0.983,1.0,0.99,1.0,1
226,1.2,16,1.0,1.0,0.0,1.0,1
227,1.2,17,0.385,1.0,0.074,0.0,0
228,1.2,18,1.0,0.0,1.0,1.0,0
