"","trial","response","model_y","half","data_y","unoise"
"1",0,"no_difference",0.825528856715672,"test",0.951612903225806,1.5
"2",0,"affect",0.130024825782859,"test",0.0161290322580645,1.5
"3",0,"enable",0.036760166690702,"test",0.0161290322580645,1.5
"4",0,"cause",0.00768615081076685,"test",0.0161290322580645,1.5
"5",1,"no_difference",0.221565171430566,"train",0.0967741935483871,1.5
"6",1,"affect",0.34237460878104,"train",0.112903225806452,1.5
"7",1,"enable",0.322004418855629,"train",0.758064516129032,1.5
"8",1,"cause",0.114055800932765,"train",0.032258064516129,1.5
"9",2,"no_difference",0.493343128760393,"test",0.629032258064516,1.5
"10",2,"affect",0.321713122876695,"test",0.241935483870968,1.5
"11",2,"enable",0.148484545052056,"test",0.032258064516129,1.5
"12",2,"cause",0.0364592033108563,"test",0.0967741935483871,1.5
"13",3,"no_difference",0.179582871407641,"train",0.0483870967741935,1.5
"14",3,"affect",0.319060711550207,"train",0.354838709677419,1.5
"15",3,"enable",0.357782104469512,"train",0.112903225806452,1.5
"16",3,"cause",0.143574312572639,"train",0.483870967741935,1.5
"17",4,"no_difference",0.263658898313778,"train",0.580645161290323,1.5
"18",4,"affect",0.355359887430646,"train",0.290322580645161,1.5
"19",4,"enable",0.287887423091202,"train",0.0967741935483871,1.5
"20",4,"cause",0.0930937911643747,"train",0.032258064516129,1.5
"21",5,"no_difference",0.137750231645877,"test",0.0161290322580645,1.5
"22",5,"affect",0.280986566636623,"test",0.0645161290322581,1.5
"23",5,"enable",0.391578798956796,"test",0.0967741935483871,1.5
"24",5,"cause",0.189684402760704,"test",0.82258064516129,1.5
"25",6,"no_difference",0.139024349999379,"train",0.0645161290322581,1.5
"26",6,"affect",0.282337716594928,"train",0.435483870967742,1.5
"27",6,"enable",0.390638431453263,"train",0.193548387096774,1.5
"28",6,"cause",0.18799950195243,"train",0.306451612903226,1.5
"29",7,"no_difference",0.305984372187184,"train",0.209677419354839,1.5
"30",7,"affect",0.360993800160364,"train",0.0483870967741935,1.5
"31",7,"enable",0.25627555980845,"train",0.725806451612903,1.5
"32",7,"cause",0.0767462678440011,"train",0.0161290322580645,1.5
"33",8,"no_difference",0.166669408136213,"train",0.032258064516129,1.5
"34",8,"affect",0.309445649544836,"train",0.306451612903226,1.5
"35",8,"enable",0.368849361676165,"train",0.258064516129032,1.5
"36",8,"cause",0.155035580642785,"train",0.403225806451613,1.5
"37",9,"no_difference",0.0389337228892454,"train",0.0806451612903226,1.5
"38",9,"affect",0.11652629429911,"train",0.161290322580645,1.5
"39",9,"enable",0.368938548445631,"train",0.112903225806452,1.5
"40",9,"cause",0.475601434366014,"train",0.645161290322581,1.5
"41",10,"no_difference",0.0737362361856933,"test",0.032258064516129,1.5
"42",10,"affect",0.191888232405844,"test",0.483870967741935,1.5
"43",10,"enable",0.41854751318086,"test",0.193548387096774,1.5
"44",10,"cause",0.315828018227603,"test",0.290322580645161,1.5
"45",11,"no_difference",0.0618569904464784,"train",0.0161290322580645,1.5
"46",11,"affect",0.168575344017464,"train",0.258064516129032,1.5
"47",11,"enable",0.41129455959546,"train",0.532258064516129,1.5
"48",11,"cause",0.358273105940597,"train",0.193548387096774,1.5
"49",12,"no_difference",0.0102511065589343,"test",0,1.5
"50",12,"affect",0.0346252725783948,"test",0.0161290322580645,1.5
"51",12,"enable",0.174730039636169,"test",0.0645161290322581,1.5
"52",12,"cause",0.780393581226502,"test",0.919354838709677,1.5
"53",13,"no_difference",0.0102511065589343,"test",0.0161290322580645,1.5
"54",13,"affect",0.0346252725783948,"test",0.209677419354839,1.5
"55",13,"enable",0.174730039636169,"test",0.193548387096774,1.5
"56",13,"cause",0.780393581226502,"test",0.580645161290323,1.5
"57",14,"no_difference",0.0110896605434761,"test",0.0161290322580645,1.5
"58",14,"affect",0.0373243558733325,"test",0.370967741935484,1.5
"59",14,"enable",0.185130118009626,"test",0.370967741935484,1.5
"60",14,"cause",0.766455865573565,"test",0.241935483870968,1.5
"61",15,"no_difference",0.0115546540108509,"train",0,1.5
"62",15,"affect",0.0388124906668775,"train",0.193548387096774,1.5
"63",15,"enable",0.190704196272896,"train",0.145161290322581,1.5
"64",15,"cause",0.758928659049376,"train",0.661290322580645,1.5
"65",16,"no_difference",0.059645910143406,"train",0.0161290322580645,1.5
"66",16,"affect",0.16395282384424,"train",0.129032258064516,1.5
"67",16,"enable",0.409019442220828,"train",0.112903225806452,1.5
"68",16,"cause",0.367381823791526,"train",0.741935483870968,1.5
"69",17,"no_difference",0.20213846225689,"test",0.0967741935483871,1.5
"70",17,"affect",0.333004244350981,"test",0.661290322580645,1.5
"71",17,"enable",0.338374062357552,"test",0.17741935483871,1.5
"72",17,"cause",0.126483231034577,"test",0.0645161290322581,1.5
"73",18,"no_difference",0.0480183682966438,"train",0.032258064516129,1.5
"74",18,"affect",0.138044157955502,"train",0.032258064516129,1.5
"75",18,"enable",0.391138214919738,"train",0.887096774193548,1.5
"76",18,"cause",0.422799258828117,"train",0.0483870967741935,1.5
"77",19,"no_difference",0.0719998815257709,"train",0.0967741935483871,1.5
"78",19,"affect",0.188679863191276,"train",0.354838709677419,1.5
"79",19,"enable",0.418042906117733,"train",0.290322580645161,1.5
"80",19,"cause",0.321277349165219,"train",0.258064516129032,1.5
"81",20,"no_difference",0.0964866312965301,"test",0.17741935483871,1.5
"82",20,"affect",0.230305949189835,"test",0.580645161290323,1.5
"83",20,"enable",0.417427190868862,"test",0.0645161290322581,1.5
"84",20,"cause",0.255780228644773,"test",0.17741935483871,1.5
"85",21,"no_difference",0.0102511065589343,"test",0.032258064516129,1.5
"86",21,"affect",0.0346252725783948,"test",0.241935483870968,1.5
"87",21,"enable",0.174730039636169,"test",0.483870967741935,1.5
"88",21,"cause",0.780393581226502,"test",0.241935483870968,1.5
"89",22,"no_difference",0.825528856715672,"train",0.983870967741935,1.5
"90",22,"affect",0.130024825782859,"train",0,1.5
"91",22,"enable",0.036760166690702,"train",0.0161290322580645,1.5
"92",22,"cause",0.00768615081076685,"train",0,1.5
"93",23,"no_difference",0.825528856715672,"test",0.967741935483871,1.5
"94",23,"affect",0.130024825782859,"test",0,1.5
"95",23,"enable",0.036760166690702,"test",0.0161290322580645,1.5
"96",23,"cause",0.00768615081076685,"test",0.0161290322580645,1.5
"97",24,"no_difference",0.0279350490963967,"test",0.032258064516129,1.5
"98",24,"affect",0.0875272578592533,"test",0.5,1.5
