"","trial","response","model_y","half","data_y","unoise"
"1",0,"no_difference",0.843708094993694,"test",0.951612903225806,0.9
"2",0,"affect",0.128000570610282,"test",0.0161290322580645,0.9
"3",0,"enable",0.0201627714730985,"test",0.0161290322580645,0.9
"4",0,"cause",0.00812856292292497,"test",0.0161290322580645,0.9
"5",1,"no_difference",0.211311346994267,"test",0.0967741935483871,0.9
"6",1,"affect",0.412013522672005,"test",0.112903225806452,0.9
"7",1,"enable",0.229186099595941,"test",0.758064516129032,0.9
"8",1,"cause",0.147489030737788,"test",0.032258064516129,0.9
"9",2,"no_difference",0.392786777187098,"train",0.629032258064516,0.9
"10",2,"affect",0.411582720315648,"train",0.241935483870968,0.9
"11",2,"enable",0.131430240549137,"train",0.032258064516129,0.9
"12",2,"cause",0.0642002619481166,"train",0.0967741935483871,0.9
"13",3,"no_difference",0.197355367371856,"train",0.0483870967741935,0.9
"14",3,"affect",0.412261183894797,"train",0.354838709677419,0.9
"15",3,"enable",0.237107427745461,"train",0.112903225806452,0.9
"16",3,"cause",0.153276020987885,"train",0.483870967741935,0.9
"17",4,"no_difference",0.347652933995664,"test",0.580645161290323,0.9
"18",4,"affect",0.424515659166062,"test",0.290322580645161,0.9
"19",4,"enable",0.151001188146749,"test",0.0967741935483871,0.9
"20",4,"cause",0.0768302186915251,"test",0.032258064516129,0.9
"21",5,"no_difference",0.074192536213937,"train",0.0161290322580645,0.9
"22",5,"affect",0.262229448397883,"train",0.0645161290322581,0.9
"23",5,"enable",0.303691942583585,"train",0.0967741935483871,0.9
"24",5,"cause",0.359886072804595,"train",0.82258064516129,0.9
"25",6,"no_difference",0.332891549489241,"test",0.0645161290322581,0.9
"26",6,"affect",0.42017634425354,"test",0.435483870967742,0.9
"27",6,"enable",0.161199347957634,"test",0.193548387096774,0.9
"28",6,"cause",0.0857327582995852,"test",0.306451612903226,0.9
"29",7,"no_difference",0.334780197494279,"test",0.209677419354839,0.9
"30",7,"affect",0.420489198890773,"test",0.0483870967741935,0.9
"31",7,"enable",0.160162495176907,"test",0.725806451612903,0.9
"32",7,"cause",0.0845681084380405,"test",0.0161290322580645,0.9
"33",8,"no_difference",0.399532343127882,"test",0.032258064516129,0.9
"34",8,"affect",0.408715071689135,"test",0.306451612903226,0.9
"35",8,"enable",0.128924351191723,"test",0.258064516129032,0.9
"36",8,"cause",0.0628282339912602,"test",0.403225806451613,0.9
"37",9,"no_difference",0.012368886746235,"train",0.0806451612903226,0.9
"38",9,"affect",0.0614210211316131,"train",0.161290322580645,0.9
"39",9,"enable",0.146038980374435,"train",0.112903225806452,0.9
"40",9,"cause",0.780171111747717,"train",0.645161290322581,0.9
"41",10,"no_difference",0.210361693782821,"test",0.032258064516129,0.9
"42",10,"affect",0.41783523123254,"test",0.483870967741935,0.9
"43",10,"enable",0.228372504734094,"test",0.193548387096774,0.9
"44",10,"cause",0.143430570250545,"test",0.290322580645161,0.9
"45",11,"no_difference",0.181028070111986,"test",0.0161290322580645,0.9
"46",11,"affect",0.402388932292486,"test",0.258064516129032,0.9
"47",11,"enable",0.24836210868803,"test",0.532258064516129,0.9
"48",11,"cause",0.168220888907497,"test",0.193548387096774,0.9
"49",12,"no_difference",0.00439168165908314,"test",0,0.9
"50",12,"affect",0.0228615728062547,"test",0.0161290322580645,0.9
"51",12,"enable",0.0629473054443226,"test",0.0645161290322581,0.9
"52",12,"cause",0.90979944009034,"test",0.919354838709677,0.9
"53",13,"no_difference",0.0263258892415843,"train",0.0161290322580645,0.9
"54",13,"affect",0.120370293260733,"train",0.209677419354839,0.9
"55",13,"enable",0.230628519671173,"train",0.193548387096774,0.9
"56",13,"cause",0.622675297826509,"train",0.580645161290323,0.9
"57",14,"no_difference",0.0602171349567344,"test",0.0161290322580645,0.9
"58",14,"affect",0.228802988936047,"test",0.370967741935484,0.9
"59",14,"enable",0.299816795389438,"test",0.370967741935484,0.9
"60",14,"cause",0.411163080717781,"test",0.241935483870968,0.9
"61",15,"no_difference",0.00441332583533192,"train",0,0.9
"62",15,"affect",0.0229713684963863,"train",0.193548387096774,0.9
"63",15,"enable",0.0632224187017824,"train",0.145161290322581,0.9
"64",15,"cause",0.909392886966499,"train",0.661290322580645,0.9
"65",16,"no_difference",0.0348127080919744,"test",0.0161290322580645,0.9
"66",16,"affect",0.150763298039636,"test",0.129032258064516,0.9
"67",16,"enable",0.258204515240549,"test",0.112903225806452,0.9
"68",16,"cause",0.556219478627841,"test",0.741935483870968,0.9
"69",17,"no_difference",0.953665453788231,"test",0.0967741935483871,0.9
"70",17,"affect",0.0387245337528976,"test",0.661290322580645,0.9
"71",17,"enable",0.00544455329731507,"test",0.17741935483871,0.9
"72",17,"cause",0.00216545916155638,"test",0.0645161290322581,0.9
"73",18,"no_difference",0.0360442584577452,"test",0.032258064516129,0.9
"74",18,"affect",0.154741925323598,"test",0.032258064516129,0.9
"75",18,"enable",0.260080139599381,"test",0.887096774193548,0.9
"76",18,"cause",0.549133676619276,"test",0.0483870967741935,0.9
"77",19,"no_difference",0.183526579350735,"train",0.0967741935483871,0.9
"78",19,"affect",0.404216224960843,"train",0.354838709677419,0.9
"79",19,"enable",0.246623902838923,"train",0.290322580645161,0.9
"80",19,"cause",0.165633292849499,"train",0.258064516129032,0.9
"81",20,"no_difference",0.170385747253825,"train",0.17741935483871,0.9
"82",20,"affect",0.396468517383255,"train",0.580645161290323,0.9
"83",20,"enable",0.255824521589776,"train",0.0645161290322581,0.9
"84",20,"cause",0.177321213773143,"train",0.17741935483871,0.9
"85",21,"no_difference",0.0599353380083199,"train",0.032258064516129,0.9
"86",21,"affect",0.228061843297004,"train",0.241935483870968,0.9
"87",21,"enable",0.299631371670633,"train",0.483870967741935,0.9
"88",21,"cause",0.412371447024042,"train",0.241935483870968,0.9
"89",22,"no_difference",0.843708094993694,"train",0.983870967741935,0.9
"90",22,"affect",0.128000570610282,"train",0,0.9
"91",22,"enable",0.0201627714730985,"train",0.0161290322580645,0.9
"92",22,"cause",0.00812856292292497,"train",0,0.9
"93",23,"no_difference",0.843708094993694,"train",0.967741935483871,0.9
"94",23,"affect",0.128000570610282,"train",0,0.9
"95",23,"enable",0.0201627714730985,"train",0.0161290322580645,0.9
"96",23,"cause",0.00812856292292497,"train",0.0161290322580645,0.9
"97",24,"no_difference",0.0880018367533918,"train",0.032258064516129,0.9
"98",24,"affect",0.292472077912835,"train",0.5,0.9
"99",24,"enable",0.304387309636371,"train",0.290322580645161,0.9
"100",24,"cause",0.315138775697402,"train",0.17741935483871,0.9
"101",25,"no_difference",0.229659154408729,"train",0.161290322580645,0.9
"102",25,"affect",0.423217888718861,"train",0.0483870967741935,0.9
"103",25,"enable",0.216255382426275,"train",0.774193548387097,0.9
"104",25,"cause",0.130867574446135,"train",0.0161290322580645,0.9
"105",26,"no_difference",0.0348558907083938,"test",0,0.9
"106",26,"affect",0.151048137319442,"test",0.467741935483871,0.9
"107",26,"enable",0.258719234471988,"test",0.112903225806452,0.9
"108",26,"cause",0.555376737500176,"test",0.419354838709677,0.9
"109",27,"no_difference",0.146350785411888,"train",0.0806451612903226,0.9
"110",27,"affect",0.37420499956768,"train",0.354838709677419,0.9
"111",27,"enable",0.272490616587122,"train",0.354838709677419,0.9
"112",27,"cause",0.20695359843331,"train",0.209677419354839,0.9
"113",28,"no_difference",0.311671936792087,"train",0.387096774193548,0.9
"114",28,"affect",0.430629679624069,"train",0.5,0.9
"115",28,"enable",0.168504608239219,"train",0,0.9
"116",28,"cause",0.0891937753446249,"train",0.112903225806452,0.9
