"","trial","response","model_y","half","data_y","unoise"
"1",0,"no_difference",0.887119433020347,"test",0.951612903225806,0.6
"2",0,"affect",0.0974102285326055,"test",0.0161290322580645,0.6
"3",0,"enable",0.0119099393421458,"test",0.0161290322580645,0.6
"4",0,"cause",0.00356039910490166,"test",0.0161290322580645,0.6
"5",1,"no_difference",0.162894899765788,"train",0.0967741935483871,0.6
"6",1,"affect",0.447883297370725,"train",0.112903225806452,0.6
"7",1,"enable",0.262375956382183,"train",0.758064516129032,0.6
"8",1,"cause",0.126845846481303,"train",0.032258064516129,0.6
"9",2,"no_difference",0.203756490392417,"test",0.629032258064516,0.6
"10",2,"affect",0.469833670091614,"test",0.241935483870968,0.6
"11",2,"enable",0.226897943703668,"test",0.032258064516129,0.6
"12",2,"cause",0.0995118958123009,"test",0.0967741935483871,0.6
"13",3,"no_difference",0.166695697353929,"train",0.0483870967741935,0.6
"14",3,"affect",0.450944123959931,"train",0.354838709677419,0.6
"15",3,"enable",0.258669975401582,"train",0.112903225806452,0.6
"16",3,"cause",0.123690203284559,"train",0.483870967741935,0.6
"17",4,"no_difference",0.202112872354346,"train",0.580645161290323,0.6
"18",4,"affect",0.469246872528029,"train",0.290322580645161,0.6
"19",4,"enable",0.228216358402087,"train",0.0967741935483871,0.6
"20",4,"cause",0.100423896715539,"train",0.032258064516129,0.6
"21",5,"no_difference",0.00900180053991105,"train",0.0161290322580645,0.6
"22",5,"affect",0.0592919941498695,"train",0.0645161290322581,0.6
"23",5,"enable",0.173975579036661,"train",0.0967741935483871,0.6
"24",5,"cause",0.757730626273559,"train",0.82258064516129,0.6
"25",6,"no_difference",0.011310448467131,"test",0.0645161290322581,0.6
"26",6,"affect",0.0729260870099725,"test",0.435483870967742,0.6
"27",6,"enable",0.200312731196279,"test",0.193548387096774,0.6
"28",6,"cause",0.715450733326618,"test",0.306451612903226,0.6
"29",7,"no_difference",0.206300040467791,"test",0.209677419354839,0.6
"30",7,"affect",0.470286223884673,"test",0.0483870967741935,0.6
"31",7,"enable",0.225103635902138,"test",0.725806451612903,0.6
"32",7,"cause",0.0983100997453976,"test",0.0161290322580645,0.6
"33",8,"no_difference",0.0916211115466282,"train",0.032258064516129,0.6
"34",8,"affect",0.357657619663919,"train",0.306451612903226,0.6
"35",8,"enable",0.332295210077966,"train",0.258064516129032,0.6
"36",8,"cause",0.218426058711486,"train",0.403225806451613,0.6
"37",9,"no_difference",0.00253316756122754,"test",0.0806451612903226,0.6
"38",9,"affect",0.0175172839602116,"test",0.161290322580645,0.6
"39",9,"enable",0.0623866325009361,"test",0.112903225806452,0.6
"40",9,"cause",0.917562915977625,"test",0.645161290322581,0.6
"41",10,"no_difference",0.0533093938327291,"train",0.032258064516129,0.6
"42",10,"affect",0.259679809759694,"train",0.483870967741935,0.6
"43",10,"enable",0.353495377071535,"train",0.193548387096774,0.6
"44",10,"cause",0.333515419336042,"train",0.290322580645161,0.6
"45",11,"no_difference",0.0536817999856998,"train",0.0161290322580645,0.6
"46",11,"affect",0.260859188416006,"train",0.258064516129032,0.6
"47",11,"enable",0.353514085669359,"train",0.532258064516129,0.6
"48",11,"cause",0.331944925928936,"train",0.193548387096774,0.6
"49",12,"no_difference",0.00163138571174516,"test",0,0.6
"50",12,"affect",0.011348579185397,"test",0.0161290322580645,0.6
"51",12,"enable",0.0416299296672879,"test",0.0645161290322581,0.6
"52",12,"cause",0.94539010543557,"test",0.919354838709677,0.6
"53",13,"no_difference",0.00201624649377204,"test",0.0161290322580645,0.6
"54",13,"affect",0.0139860813007595,"test",0.209677419354839,0.6
"55",13,"enable",0.0506907969978706,"test",0.193548387096774,0.6
"56",13,"cause",0.933306875207598,"test",0.580645161290323,0.6
"57",14,"no_difference",0.00218317711984229,"test",0.0161290322580645,0.6
"58",14,"affect",0.0150865959071448,"test",0.370967741935484,0.6
"59",14,"enable",0.0540448503228284,"test",0.370967741935484,0.6
"60",14,"cause",0.928685376650184,"test",0.241935483870968,0.6
"61",15,"no_difference",0.00163138571174516,"train",0,0.6
"62",15,"affect",0.011348579185397,"train",0.193548387096774,0.6
"63",15,"enable",0.0416299296672879,"train",0.145161290322581,0.6
"64",15,"cause",0.94539010543557,"train",0.661290322580645,0.6
"65",16,"no_difference",0.0441894402030637,"train",0.0161290322580645,0.6
"66",16,"affect",0.227214771626009,"train",0.129032258064516,0.6
"67",16,"enable",0.347403634582923,"train",0.112903225806452,0.6
"68",16,"cause",0.381192153588005,"train",0.741935483870968,0.6
"69",17,"no_difference",0.202691490543535,"train",0.0967741935483871,0.6
"70",17,"affect",0.467208419562023,"train",0.661290322580645,0.6
"71",17,"enable",0.228518991156426,"train",0.17741935483871,0.6
"72",17,"cause",0.101581098738015,"train",0.0645161290322581,0.6
"73",18,"no_difference",0.0474986607744185,"train",0.032258064516129,0.6
"74",18,"affect",0.239075278296738,"train",0.032258064516129,0.6
"75",18,"enable",0.350518001089434,"train",0.887096774193548,0.6
"76",18,"cause",0.362908059839409,"train",0.0483870967741935,0.6
"77",19,"no_difference",0.053177877150683,"test",0.0967741935483871,0.6
"78",19,"affect",0.259224745979482,"test",0.354838709677419,0.6
"79",19,"enable",0.3534505130997,"test",0.290322580645161,0.6
"80",19,"cause",0.334146863770135,"test",0.258064516129032,0.6
"81",20,"no_difference",0.143971782248854,"train",0.17741935483871,0.6
"82",20,"affect",0.431944318148663,"train",0.580645161290323,0.6
"83",20,"enable",0.280246187103996,"train",0.0645161290322581,0.6
"84",20,"cause",0.143837712498487,"train",0.17741935483871,0.6
