"","trial","response","model_y","half","data_y","unoise"
"1",0,"no_difference",0.829192952812267,"train",0.951612903225806,0.6
"2",0,"affect",0.140932163776014,"train",0.0161290322580645,0.6
"3",0,"enable",0.0236457759478514,"train",0.0161290322580645,0.6
"4",0,"cause",0.00622910746386737,"train",0.0161290322580645,0.6
"5",1,"no_difference",0.130608694209144,"train",0.0967741935483871,0.6
"6",1,"affect",0.369483401299875,"train",0.112903225806452,0.6
"7",1,"enable",0.330668752722455,"train",0.758064516129032,0.6
"8",1,"cause",0.169239151768526,"train",0.032258064516129,0.6
"9",2,"no_difference",0.231966356178623,"test",0.629032258064516,0.6
"10",2,"affect",0.43431782571379,"test",0.241935483870968,0.6
"11",2,"enable",0.240630983118576,"test",0.032258064516129,0.6
"12",2,"cause",0.0930848349890106,"test",0.0967741935483871,0.6
"13",3,"no_difference",0.192242493915404,"test",0.0483870967741935,0.6
"14",3,"affect",0.419903673647766,"test",0.354838709677419,0.6
"15",3,"enable",0.273006161729442,"test",0.112903225806452,0.6
"16",3,"cause",0.114847670707388,"test",0.483870967741935,0.6
"17",4,"no_difference",0.230259310799973,"test",0.580645161290323,0.6
"18",4,"affect",0.433904782321283,"test",0.290322580645161,0.6
"19",4,"enable",0.241944158898356,"test",0.0967741935483871,0.6
"20",4,"cause",0.0938917479803883,"test",0.032258064516129,0.6
"21",5,"no_difference",0.0129873046227927,"train",0.0161290322580645,0.6
"22",5,"affect",0.0675924535357516,"train",0.0645161290322581,0.6
"23",5,"enable",0.21889958239921,"train",0.0967741935483871,0.6
"24",5,"cause",0.700520659442246,"train",0.82258064516129,0.6
"25",6,"no_difference",0.0995728248339048,"train",0.0645161290322581,0.6
"26",6,"affect",0.323452205666976,"train",0.435483870967742,0.6
"27",6,"enable",0.358022523107097,"train",0.193548387096774,0.6
"28",6,"cause",0.218952446392022,"train",0.306451612903226,0.6
"29",7,"no_difference",0.165534422871612,"train",0.209677419354839,0.6
"30",7,"affect",0.403730955614536,"train",0.0483870967741935,0.6
"31",7,"enable",0.297244778714082,"train",0.725806451612903,0.6
"32",7,"cause",0.13348984279977,"train",0.0161290322580645,0.6
"33",8,"no_difference",0.457635758925927,"test",0.032258064516129,0.6
"34",8,"affect",0.388804418578252,"test",0.306451612903226,0.6
"35",8,"enable",0.117722449798763,"test",0.258064516129032,0.6
"36",8,"cause",0.0358373726970582,"test",0.403225806451613,0.6
"37",9,"no_difference",0.00380413748853626,"train",0.0806451612903226,0.6
"38",9,"affect",0.0209895325146362,"train",0.161290322580645,0.6
"39",9,"enable",0.0859858270147924,"train",0.112903225806452,0.6
"40",9,"cause",0.889220502982035,"train",0.645161290322581,0.6
"41",10,"no_difference",0.32722406884409,"test",0.032258064516129,0.6
"42",10,"affect",0.431841924582756,"test",0.483870967741935,0.6
"43",10,"enable",0.179486843721715,"test",0.193548387096774,0.6
"44",10,"cause",0.0614471628514397,"test",0.290322580645161,0.6
"45",11,"no_difference",0.328435405605244,"test",0.0161290322580645,0.6
"46",11,"affect",0.431355077839895,"test",0.258064516129032,0.6
"47",11,"enable",0.178953476739323,"test",0.532258064516129,0.6
"48",11,"cause",0.0612560398155376,"test",0.193548387096774,0.6
"49",12,"no_difference",0.00251105114297785,"train",0,0.6
"50",12,"affect",0.0139558881501682,"train",0.0161290322580645,0.6
"51",12,"enable",0.0593508199892758,"train",0.0645161290322581,0.6
"52",12,"cause",0.924182240717578,"train",0.919354838709677,0.6
"53",13,"no_difference",0.0208366830849938,"train",0.0161290322580645,0.6
"54",13,"affect",0.103176165611381,"train",0.209677419354839,0.6
"55",13,"enable",0.282991741927656,"train",0.193548387096774,0.6
"56",13,"cause",0.592995409375969,"train",0.580645161290323,0.6
"57",14,"no_difference",0.0677879912591456,"test",0.0161290322580645,0.6
"58",14,"affect",0.257739083163481,"test",0.370967741935484,0.6
"59",14,"enable",0.375331516032696,"test",0.370967741935484,0.6
"60",14,"cause",0.299141409544678,"test",0.241935483870968,0.6
"61",15,"no_difference",0.00251105114297785,"train",0,0.6
"62",15,"affect",0.0139558881501682,"train",0.193548387096774,0.6
"63",15,"enable",0.0593508199892758,"train",0.145161290322581,0.6
"64",15,"cause",0.924182240717578,"train",0.661290322580645,0.6
"65",16,"no_difference",0.0546008518392303,"train",0.0161290322580645,0.6
"66",16,"affect",0.222990987562121,"train",0.129032258064516,0.6
"67",16,"enable",0.373366892900204,"train",0.112903225806452,0.6
"68",16,"cause",0.349041267698445,"train",0.741935483870968,0.6
"69",17,"no_difference",0.97765110996408,"test",0.0967741935483871,0.6
"70",17,"affect",0.0189175341224663,"test",0.661290322580645,0.6
"71",17,"enable",0.0027270532898567,"test",0.17741935483871,0.6
"72",17,"cause",0.000704302623597518,"test",0.0645161290322581,0.6
"73",18,"no_difference",0.0394915720582491,"test",0.032258064516129,0.6
"74",18,"affect",0.174114626331705,"test",0.032258064516129,0.6
"75",18,"enable",0.353209321318829,"test",0.887096774193548,0.6
"76",18,"cause",0.433184480291216,"test",0.0483870967741935,0.6
"77",19,"no_difference",0.326444570520365,"test",0.0967741935483871,0.6
"78",19,"affect",0.431738539920321,"test",0.354838709677419,0.6
"79",19,"enable",0.180055253788113,"test",0.290322580645161,0.6
"80",19,"cause",0.0617616357712007,"test",0.258064516129032,0.6
"81",20,"no_difference",0.168837800786037,"train",0.17741935483871,0.6
"82",20,"affect",0.405153112964748,"train",0.580645161290323,0.6
"83",20,"enable",0.293999858372554,"train",0.0645161290322581,0.6
"84",20,"cause",0.13200922787666,"train",0.17741935483871,0.6
"85",21,"no_difference",0.0677879912591456,"train",0.032258064516129,0.6
"86",21,"affect",0.257739083163481,"train",0.241935483870968,0.6
"87",21,"enable",0.375331516032696,"train",0.483870967741935,0.6
"88",21,"cause",0.299141409544678,"train",0.241935483870968,0.6
"89",22,"no_difference",0.829192952812267,"test",0.983870967741935,0.6
"90",22,"affect",0.140932163776014,"test",0,0.6
"91",22,"enable",0.0236457759478514,"test",0.0161290322580645,0.6
"92",22,"cause",0.00622910746386737,"test",0,0.6
"93",23,"no_difference",0.829192952812267,"train",0.967741935483871,0.6
"94",23,"affect",0.140932163776014,"train",0,0.6
"95",23,"enable",0.0236457759478514,"train",0.0161290322580645,0.6
"96",23,"cause",0.00622910746386737,"train",0.0161290322580645,0.6
"97",24,"no_difference",0.142354853351847,"test",0.032258064516129,0.6
"98",24,"affect",0.378440756716183,"test",0.5,0.6
"99",24,"enable",0.318903513543579,"test",0.290322580645161,0.6
"100",24,"cause",0.160300876388392,"test",0.17741935483871,0.6
"101",25,"no_difference",0.48142557458772,"test",0.161290322580645,0.6
"102",25,"affect",0.377163340311328,"test",0.0483870967741935,0.6
"103",25,"enable",0.10882317075224,"test",0.774193548387097,0.6
"104",25,"cause",0.0325879143487118,"test",0.0161290322580645,0.6
"105",26,"no_difference",0.0538044647096204,"train",0,0.6
"106",26,"affect",0.220713350666146,"train",0.467741935483871,0.6
"107",26,"enable",0.372979861772213,"train",0.112903225806452,0.6
"108",26,"cause",0.352502322852021,"train",0.419354838709677,0.6
"109",27,"no_difference",0.0995722670741503,"train",0.0806451612903226,0.6
"110",27,"affect",0.323399785271725,"train",0.354838709677419,0.6
"111",27,"enable",0.357833203184355,"train",0.354838709677419,0.6
"112",27,"cause",0.21919474446977,"train",0.209677419354839,0.6
"113",28,"no_difference",0.22409739108667,"test",0.387096774193548,0.6
"114",28,"affect",0.432260122471956,"test",0.5,0.6
"115",28,"enable",0.246746395039703,"test",0,0.6
"116",28,"cause",0.096896091401672,"test",0.112903225806452,0.6
"117",29,"no_difference",0.829192952812267,"test",0.983870967741935,0.6
"118",29,"affect",0.140932163776014,"test",0,0.6
"119",29,"enable",0.0236457759478514,"test",0,0.6
"120",29,"cause",0.00622910746386737,"test",0.0161290322580645,0.6
