"","trial","response","model_y","half","data_y","unoise"
"1",0,"no_difference",0.795546910113328,"test",0.951612903225806,1.3
"2",0,"affect",0.155625939942416,"test",0.0161290322580645,1.3
"3",0,"enable",0.0410034780325662,"test",0.0161290322580645,1.3
"4",0,"cause",0.00782367191168989,"test",0.0161290322580645,1.3
"5",1,"no_difference",0.213995387522816,"train",0.0967741935483871,1.3
"6",1,"affect",0.362726486823413,"train",0.112903225806452,1.3
"7",1,"enable",0.321936288339215,"train",0.758064516129032,1.3
"8",1,"cause",0.101341837314556,"train",0.032258064516129,1.3
"9",2,"no_difference",0.659233569072314,"train",0.629032258064516,1.3
"10",2,"affect",0.246763403628417,"train",0.241935483870968,1.3
"11",2,"enable",0.0782831135711754,"train",0.032258064516129,1.3
"12",2,"cause",0.0157199137280938,"train",0.0967741935483871,1.3
"13",3,"no_difference",0.313155868561639,"test",0.0483870967741935,1.3
"14",3,"affect",0.381994426374112,"test",0.354838709677419,1.3
"15",3,"enable",0.241677399750172,"test",0.112903225806452,1.3
"16",3,"cause",0.0631723053140769,"test",0.483870967741935,1.3
"17",4,"no_difference",0.517275255795484,"train",0.580645161290323,1.3
"18",4,"affect",0.325035266494988,"train",0.290322580645161,1.3
"19",4,"enable",0.12967516395086,"train",0.0967741935483871,1.3
"20",4,"cause",0.0280143137586687,"train",0.032258064516129,1.3
"21",5,"no_difference",0.273793064431687,"test",0.0161290322580645,1.3
"22",5,"affect",0.375181710966705,"test",0.0645161290322581,1.3
"23",5,"enable",0.273062297927893,"test",0.0967741935483871,1.3
"24",5,"cause",0.0779629266737146,"test",0.82258064516129,1.3
"25",6,"no_difference",0.274758643570561,"test",0.0645161290322581,1.3
"26",6,"affect",0.37533598876601,"test",0.435483870967742,1.3
"27",6,"enable",0.272302891583246,"test",0.193548387096774,1.3
"28",6,"cause",0.0776024760801824,"test",0.306451612903226,1.3
"29",7,"no_difference",0.309908677285358,"train",0.209677419354839,1.3
"30",7,"affect",0.381968899508677,"train",0.0483870967741935,1.3
"31",7,"enable",0.244032351065745,"train",0.725806451612903,1.3
"32",7,"cause",0.0640900721402201,"train",0.0161290322580645,1.3
"33",8,"no_difference",0.281367619603933,"test",0.032258064516129,1.3
"34",8,"affect",0.380616580814906,"test",0.306451612903226,1.3
"35",8,"enable",0.265211208945119,"test",0.258064516129032,1.3
"36",8,"cause",0.0728045906360427,"test",0.403225806451613,1.3
"37",9,"no_difference",0.0679992208977039,"test",0.0806451612903226,1.3
"38",9,"affect",0.199546534275485,"test",0.161290322580645,1.3
"39",9,"enable",0.435931501255176,"test",0.112903225806452,1.3
"40",9,"cause",0.296522743571635,"test",0.645161290322581,1.3
"41",10,"no_difference",0.121885784070351,"test",0.032258064516129,1.3
"42",10,"affect",0.287862340814159,"test",0.483870967741935,1.3
"43",10,"enable",0.408615728804713,"test",0.193548387096774,1.3
"44",10,"cause",0.181636146310777,"test",0.290322580645161,1.3
"45",11,"no_difference",0.102026077164893,"test",0.0161290322580645,1.3
"46",11,"affect",0.259976287972675,"test",0.258064516129032,1.3
"47",11,"enable",0.424012311614669,"test",0.532258064516129,1.3
"48",11,"cause",0.213985323247763,"test",0.193548387096774,1.3
"49",12,"no_difference",0.0206424974690206,"train",0,1.3
"50",12,"affect",0.0746803063251413,"train",0.0161290322580645,1.3
"51",12,"enable",0.311084638309585,"train",0.0645161290322581,1.3
"52",12,"cause",0.593592557896253,"train",0.919354838709677,1.3
"53",13,"no_difference",0.0206424974690206,"train",0.0161290322580645,1.3
"54",13,"affect",0.0746803063251413,"train",0.209677419354839,1.3
"55",13,"enable",0.311084638309585,"train",0.193548387096774,1.3
"56",13,"cause",0.593592557896253,"train",0.580645161290323,1.3
"57",14,"no_difference",0.0214104898592127,"test",0.0161290322580645,1.3
"58",14,"affect",0.0771847081291576,"test",0.370967741935484,1.3
"59",14,"enable",0.31685323597082,"test",0.370967741935484,1.3
"60",14,"cause",0.584551566040809,"test",0.241935483870968,1.3
"61",15,"no_difference",0.0220200977812113,"test",0,1.3
"62",15,"affect",0.0791598133287669,"test",0.193548387096774,1.3
"63",15,"enable",0.321265149784351,"test",0.145161290322581,1.3
"64",15,"cause",0.577554939105671,"test",0.661290322580645,1.3
"65",16,"no_difference",0.0991422459578355,"train",0.0161290322580645,1.3
"66",16,"affect",0.255474244186357,"train",0.129032258064516,1.3
"67",16,"enable",0.425863015118871,"train",0.112903225806452,1.3
"68",16,"cause",0.219520494736936,"train",0.741935483870968,1.3
"69",17,"no_difference",0.348333404432866,"test",0.0967741935483871,1.3
"70",17,"affect",0.379409201294131,"test",0.661290322580645,1.3
"71",17,"enable",0.217857699612183,"test",0.17741935483871,1.3
"72",17,"cause",0.0543996946608198,"test",0.0645161290322581,1.3
"73",18,"no_difference",0.0408369773863159,"train",0.032258064516129,1.3
"74",18,"affect",0.134262489279719,"train",0.032258064516129,1.3
"75",18,"enable",0.403650842980522,"train",0.887096774193548,1.3
"76",18,"cause",0.421249690353444,"train",0.0483870967741935,1.3
"77",19,"no_difference",0.110599266392535,"train",0.0967741935483871,1.3
"78",19,"affect",0.272881577205984,"train",0.354838709677419,1.3
"79",19,"enable",0.417990397423734,"train",0.290322580645161,1.3
"80",19,"cause",0.198528758977746,"train",0.258064516129032,1.3
"81",20,"no_difference",0.22442295608992,"test",0.17741935483871,1.3
"82",20,"affect",0.366992063787546,"test",0.580645161290323,1.3
"83",20,"enable",0.312464093392378,"test",0.0645161290322581,1.3
"84",20,"cause",0.0961208867301559,"test",0.17741935483871,1.3
"85",21,"no_difference",0.0206424974690206,"train",0.032258064516129,1.3
"86",21,"affect",0.0746803063251413,"train",0.241935483870968,1.3
"87",21,"enable",0.311084638309585,"train",0.483870967741935,1.3
"88",21,"cause",0.593592557896253,"train",0.241935483870968,1.3
"89",22,"no_difference",0.795546910113328,"test",0.983870967741935,1.3
"90",22,"affect",0.155625939942416,"test",0,1.3
