"","trial","response","model_y","half","data_y","unoise"
"1",0,"no_difference",0.919208968069172,"train",0.951612903225806,1.3
"2",0,"affect",0.0642902228520633,"train",0.0161290322580645,1.3
"3",0,"enable",0.014250039140031,"train",0.0161290322580645,1.3
"4",0,"cause",0.00225076993873388,"train",0.0161290322580645,1.3
"5",1,"no_difference",0.104679963088093,"train",0.0967741935483871,1.3
"6",1,"affect",0.274373191067269,"train",0.112903225806452,1.3
"7",1,"enable",0.440037331421608,"train",0.758064516129032,1.3
"8",1,"cause",0.180909514423031,"train",0.032258064516129,1.3
"9",2,"no_difference",0.653743294751201,"train",0.629032258064516,1.3
"10",2,"affect",0.25400371415584,"train",0.241935483870968,1.3
"11",2,"enable",0.078776818543755,"train",0.032258064516129,1.3
"12",2,"cause",0.0134761725492041,"train",0.0967741935483871,1.3
"13",3,"no_difference",0.155796861855774,"train",0.0483870967741935,1.3
"14",3,"affect",0.335295214344274,"train",0.354838709677419,1.3
"15",3,"enable",0.386398773469727,"train",0.112903225806452,1.3
"16",3,"cause",0.122509150330225,"train",0.483870967741935,1.3
"17",4,"no_difference",0.410968590568955,"train",0.580645161290323,1.3
"18",4,"affect",0.373389019708138,"train",0.290322580645161,1.3
"19",4,"enable",0.179975433922161,"train",0.0967741935483871,1.3
"20",4,"cause",0.0356669558007463,"train",0.032258064516129,1.3
"21",5,"no_difference",0.0906462749951908,"test",0.0161290322580645,1.3
"22",5,"affect",0.250101797865518,"test",0.0645161290322581,1.3
"23",5,"enable",0.44946312189885,"test",0.0967741935483871,1.3
"24",5,"cause",0.209788805240442,"test",0.82258064516129,1.3
"25",6,"no_difference",0.497377660016666,"test",0.0645161290322581,1.3
"26",6,"affect",0.337601101186787,"test",0.435483870967742,1.3
"27",6,"enable",0.13885825798594,"test",0.193548387096774,1.3
"28",6,"cause",0.0261629808106073,"test",0.306451612903226,1.3
"29",7,"no_difference",0.207073961673253,"train",0.209677419354839,1.3
"30",7,"affect",0.369743206156045,"train",0.0483870967741935,1.3
"31",7,"enable",0.333246520824907,"train",0.725806451612903,1.3
"32",7,"cause",0.0899363113457951,"train",0.0161290322580645,1.3
"33",8,"no_difference",0.58999943456058,"test",0.032258064516129,1.3
"34",8,"affect",0.292140023353981,"test",0.306451612903226,1.3
"35",8,"enable",0.100198206567454,"test",0.258064516129032,1.3
"36",8,"cause",0.017662335517985,"test",0.403225806451613,1.3
"37",9,"no_difference",0.00775088487060454,"test",0.0806451612903226,1.3
"38",9,"affect",0.0314678514280074,"test",0.161290322580645,1.3
"39",9,"enable",0.193403366755219,"test",0.112903225806452,1.3
"40",9,"cause",0.767377896946169,"test",0.645161290322581,1.3
"41",10,"no_difference",0.21067897755488,"test",0.032258064516129,1.3
"42",10,"affect",0.370477994859159,"test",0.483870967741935,1.3
"43",10,"enable",0.330105060758992,"test",0.193548387096774,1.3
"44",10,"cause",0.0887379668269687,"test",0.290322580645161,1.3
"45",11,"no_difference",0.164513581448219,"train",0.0161290322580645,1.3
"46",11,"affect",0.341326609362383,"train",0.258064516129032,1.3
"47",11,"enable",0.377402415830911,"train",0.532258064516129,1.3
"48",11,"cause",0.116757393358488,"train",0.193548387096774,1.3
"49",12,"no_difference",0.000992779401675004,"train",0,1.3
"50",12,"affect",0.0041505376393019,"train",0.0161290322580645,1.3
"51",12,"enable",0.0319380389350351,"train",0.0645161290322581,1.3
"52",12,"cause",0.962918644023988,"train",0.919354838709677,1.3
"53",13,"no_difference",0.00975509040291611,"test",0.0161290322580645,1.3
"54",13,"affect",0.0390606303581675,"test",0.209677419354839,1.3
"55",13,"enable",0.226180217775272,"test",0.193548387096774,1.3
"56",13,"cause",0.725004061463644,"test",0.580645161290323,1.3
"57",14,"no_difference",0.0815806805054335,"train",0.0161290322580645,1.3
"58",14,"affect",0.233240040520568,"train",0.370967741935484,1.3
"59",14,"enable",0.454848200152793,"train",0.370967741935484,1.3
"60",14,"cause",0.230331078821206,"train",0.241935483870968,1.3
"61",15,"no_difference",0.00110742763583659,"test",0,1.3
"62",15,"affect",0.00462864054978492,"test",0.193548387096774,1.3
"63",15,"enable",0.0354657279731595,"test",0.145161290322581,1.3
