"","trial","response","model_y","half","data_y","unoise"
"1",0,"no_difference",0.527286834148296,"test",0.951612903225806,0.5
"2",0,"affect",0.34533382650629,"test",0.0161290322580645,0.5
"3",0,"enable",0.0921985433992687,"test",0.0161290322580645,0.5
"4",0,"cause",0.0351807959461452,"test",0.0161290322580645,0.5
"5",1,"no_difference",0.105688497925005,"train",0.0967741935483871,0.5
"6",1,"affect",0.316908974801637,"train",0.112903225806452,0.5
"7",1,"enable",0.32297530877604,"train",0.758064516129032,0.5
"8",1,"cause",0.254427218497317,"train",0.032258064516129,0.5
"9",2,"no_difference",0.288881054722011,"train",0.629032258064516,0.5
"10",2,"affect",0.42609173121613,"train",0.241935483870968,0.5
"11",2,"enable",0.194493848434179,"train",0.032258064516129,0.5
"12",2,"cause",0.0905333656276811,"train",0.0967741935483871,0.5
"13",3,"no_difference",0.257085646374444,"test",0.0483870967741935,0.5
"14",3,"affect",0.424350812713409,"test",0.354838709677419,0.5
"15",3,"enable",0.214038701882868,"test",0.112903225806452,0.5
"16",3,"cause",0.10452483902928,"test",0.483870967741935,0.5
"17",4,"no_difference",0.288881054722011,"test",0.580645161290323,0.5
"18",4,"affect",0.42609173121613,"test",0.290322580645161,0.5
"19",4,"enable",0.194493848434179,"test",0.0967741935483871,0.5
"20",4,"cause",0.0905333656276811,"test",0.032258064516129,0.5
"21",5,"no_difference",0.0554779066620625,"train",0.0161290322580645,0.5
"22",5,"affect",0.211212148883523,"train",0.0645161290322581,0.5
"23",5,"enable",0.324321079993198,"train",0.0967741935483871,0.5
"24",5,"cause",0.408988864461217,"train",0.82258064516129,0.5
"25",6,"no_difference",0.122028840995302,"test",0.0645161290322581,0.5
"26",6,"affect",0.334799078806216,"test",0.435483870967742,0.5
"27",6,"enable",0.310192803028853,"test",0.193548387096774,0.5
"28",6,"cause",0.232979277169629,"test",0.306451612903226,0.5
"29",7,"no_difference",0.134241864808694,"train",0.209677419354839,0.5
"30",7,"affect",0.355549269556181,"train",0.0483870967741935,0.5
"31",7,"enable",0.303784092154599,"train",0.725806451612903,0.5
"32",7,"cause",0.206424773480527,"train",0.0161290322580645,0.5
"33",8,"no_difference",0.189761445816428,"train",0.032258064516129,0.5
"34",8,"affect",0.402620800215171,"train",0.306451612903226,0.5
"35",8,"enable",0.261226628585191,"train",0.258064516129032,0.5
"36",8,"cause",0.146391125383209,"train",0.403225806451613,0.5
"37",9,"no_difference",0.00959418893902578,"train",0.0806451612903226,0.5
"38",9,"affect",0.0472447614478293,"train",0.161290322580645,0.5
"39",9,"enable",0.13773588090618,"train",0.112903225806452,0.5
"40",9,"cause",0.805425168706965,"train",0.645161290322581,0.5
"41",10,"no_difference",0.112444051041147,"train",0.032258064516129,0.5
"42",10,"affect",0.327782961196842,"train",0.483870967741935,0.5
"43",10,"enable",0.319085677358006,"train",0.193548387096774,0.5
"44",10,"cause",0.240687310404005,"train",0.290322580645161,0.5
"45",11,"no_difference",0.11022817319465,"test",0.0161290322580645,0.5
"46",11,"affect",0.324471700923074,"test",0.258064516129032,0.5
"47",11,"enable",0.320470152695918,"test",0.532258064516129,0.5
"48",11,"cause",0.244829973186358,"test",0.193548387096774,0.5
"49",12,"no_difference",0.00764825405464701,"train",0,0.5
"50",12,"affect",0.0380956184067903,"train",0.0161290322580645,0.5
"51",12,"enable",0.115453539660653,"train",0.0645161290322581,0.5
"52",12,"cause",0.838802587877909,"train",0.919354838709677,0.5
"53",13,"no_difference",0.0175787083367361,"train",0.0161290322580645,0.5
"54",13,"affect",0.0823789412809019,"train",0.209677419354839,0.5
"55",13,"enable",0.207765552978711,"train",0.193548387096774,0.5
"56",13,"cause",0.692276797403651,"train",0.580645161290323,0.5
"57",14,"no_difference",0.0771490644880313,"test",0.0161290322580645,0.5
"58",14,"affect",0.261930181855168,"test",0.370967741935484,0.5
"59",14,"enable",0.330676036170489,"test",0.370967741935484,0.5
"60",14,"cause",0.330244717486312,"test",0.241935483870968,0.5
"61",15,"no_difference",0.00764825405464701,"train",0,0.5
"62",15,"affect",0.0380956184067903,"train",0.193548387096774,0.5
"63",15,"enable",0.115453539660653,"train",0.145161290322581,0.5
"64",15,"cause",0.838802587877909,"train",0.661290322580645,0.5
"65",16,"no_difference",0.0512355031220426,"train",0.0161290322580645,0.5
"66",16,"affect",0.199105100058173,"train",0.129032258064516,0.5
"67",16,"enable",0.319813998216893,"train",0.112903225806452,0.5
"68",16,"cause",0.429845398602891,"train",0.741935483870968,0.5
"69",17,"no_difference",0.869977758406057,"test",0.0967741935483871,0.5
"70",17,"affect",0.106287391281534,"test",0.661290322580645,0.5
"71",17,"enable",0.01769460154109,"test",0.17741935483871,0.5
"72",17,"cause",0.00604024877131863,"test",0.0645161290322581,0.5
"73",18,"no_difference",0.0211475446124578,"test",0.032258064516129,0.5
"74",18,"affect",0.0965426241297498,"test",0.032258064516129,0.5
"75",18,"enable",0.228658532432853,"test",0.887096774193548,0.5
"76",18,"cause",0.653651298824939,"test",0.0483870967741935,0.5
"77",19,"no_difference",0.109846318845935,"train",0.0967741935483871,0.5
"78",19,"affect",0.323899277010232,"train",0.354838709677419,0.5
"79",19,"enable",0.320707253355118,"train",0.290322580645161,0.5
"80",19,"cause",0.245547150788715,"train",0.258064516129032,0.5
"81",20,"no_difference",0.263110841510126,"test",0.17741935483871,0.5
