"","trial","response","model_y","half","data_y","unoise"
"1",0,"no_difference",0.639107350534746,"train",0.951612903225806,1.3
"2",0,"affect",0.285297674376101,"train",0.0161290322580645,1.3
"3",0,"enable",0.0596495022506856,"train",0.0161290322580645,1.3
"4",0,"cause",0.0159454728384672,"train",0.0161290322580645,1.3
"5",1,"no_difference",0.150442204534269,"train",0.0967741935483871,1.3
"6",1,"affect",0.400487619948442,"train",0.112903225806452,1.3
"7",1,"enable",0.310042765243659,"train",0.758064516129032,1.3
"8",1,"cause",0.139027410273629,"train",0.032258064516129,1.3
"9",2,"no_difference",0.45087018575603,"train",0.629032258064516,1.3
"10",2,"affect",0.399135979112771,"train",0.241935483870968,1.3
"11",2,"enable",0.116177325617512,"train",0.032258064516129,1.3
"12",2,"cause",0.0338165095136869,"train",0.0967741935483871,1.3
"13",3,"no_difference",0.231560512204693,"test",0.0483870967741935,1.3
"14",3,"affect",0.44446673487764,"test",0.354838709677419,1.3
"15",3,"enable",0.237205840624518,"test",0.112903225806452,1.3
"16",3,"cause",0.0867669122931487,"test",0.483870967741935,1.3
"17",4,"no_difference",0.337264735184068,"test",0.580645161290323,1.3
"18",4,"affect",0.441476512283918,"test",0.290322580645161,1.3
"19",4,"enable",0.167924120452963,"test",0.0967741935483871,1.3
"20",4,"cause",0.0533346320790504,"test",0.032258064516129,1.3
"21",5,"no_difference",0.142415794368463,"test",0.0161290322580645,1.3
"22",5,"affect",0.390676085898251,"test",0.0645161290322581,1.3
"23",5,"enable",0.318084209905156,"test",0.0967741935483871,1.3
"24",5,"cause",0.14882390982813,"test",0.82258064516129,1.3
"25",6,"no_difference",0.142998448149905,"train",0.0645161290322581,1.3
"26",6,"affect",0.391286705094674,"train",0.435483870967742,1.3
"27",6,"enable",0.31750360480274,"train",0.193548387096774,1.3
"28",6,"cause",0.148211241952681,"train",0.306451612903226,1.3
"29",7,"no_difference",0.20027668825267,"train",0.209677419354839,1.3
"30",7,"affect",0.433926004136056,"train",0.0483870967741935,1.3
"31",7,"enable",0.263215251627715,"train",0.725806451612903,1.3
"32",7,"cause",0.102582055983559,"train",0.0161290322580645,1.3
"33",8,"no_difference",0.213343756723192,"test",0.032258064516129,1.3
"34",8,"affect",0.439199215318279,"test",0.306451612903226,1.3
"35",8,"enable",0.251962169689005,"test",0.258064516129032,1.3
"36",8,"cause",0.0954948582695235,"test",0.403225806451613,1.3
"37",9,"no_difference",0.0568678711825675,"train",0.0806451612903226,1.3
"38",9,"affect",0.237967497924049,"train",0.161290322580645,1.3
"39",9,"enable",0.38356107168972,"train",0.112903225806452,1.3
"40",9,"cause",0.321603559203664,"train",0.645161290322581,1.3
"41",10,"no_difference",0.113237119392313,"train",0.032258064516129,1.3
"42",10,"affect",0.356017682521037,"train",0.483870967741935,1.3
"43",10,"enable",0.347354198195194,"train",0.193548387096774,1.3
"44",10,"cause",0.183390999891455,"train",0.290322580645161,1.3
"45",11,"no_difference",0.102890093741068,"test",0.0161290322580645,1.3
"46",11,"affect",0.339379133640077,"test",0.258064516129032,1.3
"47",11,"enable",0.357205579820913,"test",0.532258064516129,1.3
"48",11,"cause",0.200525192797942,"test",0.193548387096774,1.3
"49",12,"no_difference",0.0221333188451157,"test",0,1.3
"50",12,"affect",0.113290172836382,"test",0.0161290322580645,1.3
"51",12,"enable",0.305559298291838,"test",0.0645161290322581,1.3
"52",12,"cause",0.559017210026664,"test",0.919354838709677,1.3
"53",13,"no_difference",0.0221333188451157,"train",0.0161290322580645,1.3
"54",13,"affect",0.113290172836382,"train",0.209677419354839,1.3
"55",13,"enable",0.305559298291838,"train",0.193548387096774,1.3
"56",13,"cause",0.559017210026664,"train",0.580645161290323,1.3
"57",14,"no_difference",0.022768891703353,"train",0.0161290322580645,1.3
"58",14,"affect",0.116088677349217,"train",0.370967741935484,1.3
"59",14,"enable",0.309302839903716,"train",0.370967741935484,1.3
"60",14,"cause",0.551839591043714,"train",0.241935483870968,1.3
"61",15,"no_difference",0.0232868770324909,"test",0,1.3
"62",15,"affect",0.118353124864503,"test",0.193548387096774,1.3
"63",15,"enable",0.312244440980117,"test",0.145161290322581,1.3
"64",15,"cause",0.546115557122889,"test",0.661290322580645,1.3
"65",16,"no_difference",0.101292284181182,"train",0.0161290322580645,1.3
"66",16,"affect",0.336624191718931,"train",0.129032258064516,1.3
"67",16,"enable",0.358661869296345,"train",0.112903225806452,1.3
"68",16,"cause",0.203421654803542,"train",0.741935483870968,1.3
"69",17,"no_difference",0.245097491883652,"train",0.0967741935483871,1.3
"70",17,"affect",0.447151231569543,"train",0.661290322580645,1.3
"71",17,"enable",0.226773297611098,"train",0.17741935483871,1.3
"72",17,"cause",0.0809779789357073,"train",0.0645161290322581,1.3
"73",18,"no_difference",0.0467233438917945,"train",0.032258064516129,1.3
"74",18,"affect",0.206302554759812,"train",0.032258064516129,1.3
"75",18,"enable",0.377093080144592,"train",0.887096774193548,1.3
"76",18,"cause",0.369881021203802,"train",0.0483870967741935,1.3
"77",19,"no_difference",0.10451002071526,"test",0.0967741935483871,1.3
"78",19,"affect",0.342449399360725,"test",0.354838709677419,1.3
"79",19,"enable",0.355813432793452,"test",0.290322580645161,1.3
"80",19,"cause",0.197227147130564,"test",0.258064516129032,1.3
"81",20,"no_difference",0.15471083626169,"train",0.17741935483871,1.3
"82",20,"affect",0.404759975933536,"train",0.580645161290323,1.3
"83",20,"enable",0.305586680010874,"train",0.0645161290322581,1.3
"84",20,"cause",0.1349425077939,"train",0.17741935483871,1.3
