"","trial","response","model_y","half","data_y","unoise"
"1",0,"no_difference",0.806796595242137,"test",0.951612903225806,0.8
"2",0,"affect",0.167918098409979,"test",0.0161290322580645,0.8
"3",0,"enable",0.0204260816477474,"test",0.0161290322580645,0.8
"4",0,"cause",0.00485922470013652,"test",0.0161290322580645,0.8
"5",1,"no_difference",0.111509136221781,"train",0.0967741935483871,0.8
"6",1,"affect",0.422569880303714,"train",0.112903225806452,0.8
"7",1,"enable",0.324153190988178,"train",0.758064516129032,0.8
"8",1,"cause",0.141767792486327,"train",0.032258064516129,0.8
"9",2,"no_difference",0.43501094537392,"test",0.629032258064516,0.8
"10",2,"affect",0.440779594491651,"test",0.241935483870968,0.8
"11",2,"enable",0.0981945452528187,"test",0.032258064516129,0.8
"12",2,"cause",0.0260149148816098,"test",0.0967741935483871,0.8
"13",3,"no_difference",0.395416820848687,"test",0.0483870967741935,0.8
"14",3,"affect",0.461474954815397,"test",0.354838709677419,0.8
"15",3,"enable",0.112612414604481,"test",0.112903225806452,0.8
"16",3,"cause",0.0304958097314352,"test",0.483870967741935,0.8
"17",4,"no_difference",0.416579860395955,"train",0.580645161290323,0.8
"18",4,"affect",0.450772636077593,"train",0.290322580645161,0.8
"19",4,"enable",0.104650687456919,"train",0.0967741935483871,0.8
"20",4,"cause",0.0279968160695325,"train",0.032258064516129,0.8
"21",5,"no_difference",0.027296380010597,"test",0.0161290322580645,0.8
"22",5,"affect",0.175716349812255,"test",0.0645161290322581,0.8
"23",5,"enable",0.363851760675449,"test",0.0967741935483871,0.8
"24",5,"cause",0.433135509501699,"test",0.82258064516129,0.8
"25",6,"no_difference",0.0086162784343662,"test",0.0645161290322581,0.8
"26",6,"affect",0.0645642713089162,"test",0.435483870967742,0.8
"27",6,"enable",0.21411513813119,"test",0.193548387096774,0.8
"28",6,"cause",0.712704312125527,"test",0.306451612903226,0.8
"29",7,"no_difference",0.124019876884692,"test",0.209677419354839,0.8
"30",7,"affect",0.438144612945177,"test",0.0483870967741935,0.8
"31",7,"enable",0.308794822920407,"test",0.725806451612903,0.8
"32",7,"cause",0.129040687249724,"test",0.0161290322580645,0.8
"33",8,"no_difference",0.129345555884476,"train",0.032258064516129,0.8
"34",8,"affect",0.448326569868645,"train",0.306451612903226,0.8
"35",8,"enable",0.301282945814159,"train",0.258064516129032,0.8
"36",8,"cause",0.12104492843272,"train",0.403225806451613,0.8
"37",9,"no_difference",0.0248440934309217,"train",0.0806451612903226,0.8
"38",9,"affect",0.165020631385444,"train",0.161290322580645,0.8
"39",9,"enable",0.363445746679051,"train",0.112903225806452,0.8
"40",9,"cause",0.446689528504583,"train",0.645161290322581,0.8
"41",10,"no_difference",0.0989348604066626,"train",0.032258064516129,0.8
"42",10,"affect",0.402965341651915,"train",0.483870967741935,0.8
"43",10,"enable",0.340229904217165,"train",0.193548387096774,0.8
"44",10,"cause",0.157869893724256,"train",0.290322580645161,0.8
"45",11,"no_difference",0.105382083560616,"test",0.0161290322580645,0.8
"46",11,"affect",0.41325201326527,"test",0.258064516129032,0.8
"47",11,"enable",0.331897013619426,"test",0.532258064516129,0.8
"48",11,"cause",0.149468889554687,"test",0.193548387096774,0.8
"49",12,"no_difference",0.0138212139924746,"test",0,0.8
"50",12,"affect",0.100343991211895,"test",0.0161290322580645,0.8
"51",12,"enable",0.291100682725443,"test",0.0645161290322581,0.8
"52",12,"cause",0.594734112070188,"test",0.919354838709677,0.8
"53",13,"no_difference",0.00415032041969137,"train",0.0161290322580645,0.8
"54",13,"affect",0.0326681260537437,"train",0.209677419354839,0.8
"55",13,"enable",0.131587293806283,"train",0.193548387096774,0.8
"56",13,"cause",0.831594259720282,"train",0.580645161290323,0.8
"57",14,"no_difference",0.0293171744080482,"test",0.0161290322580645,0.8
"58",14,"affect",0.187368598880313,"test",0.370967741935484,0.8
"59",14,"enable",0.375139874676956,"test",0.370967741935484,0.8
