,split,model,caused_version,enabled_version,affected_version,model_params,trial,verb,model_pred,data_val,use
0,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",2,caused,0.030043325087003813,0.0967741935483871,train
1,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",0,caused,0.05364049487283791,0.016129032258064516,test
2,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",2,enabled,0.030043325087003813,0.03225806451612903,train
3,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",0,enabled,0.05364049487283791,0.016129032258064516,test
4,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",2,affected,0.46995667491299625,0.24193548387096775,train
5,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",0,affected,0.05364049487283791,0.016129032258064516,test
6,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",2,didn't affect,0.46995667491299625,0.6290322580645161,train
7,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",0,didn't affect,0.8390785153814864,0.9516129032258065,test
8,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",3,caused,0.12413788720941295,0.4838709677419355,train
9,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",1,caused,0.030043325087003827,0.03225806451612903,test
10,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",3,enabled,0.12413788720941298,0.11290322580645161,train
11,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",1,enabled,0.46995667491299625,0.7580645161290323,test
12,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",3,affected,0.5790523809380491,0.3548387096774194,train
13,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",1,affected,0.46995667491299625,0.11290322580645161,test
14,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",3,didn't affect,0.17267184464312502,0.04838709677419355,train
15,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",1,didn't affect,0.030043325087003827,0.0967741935483871,test
16,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",4,caused,0.05678674446655228,0.03225806451612903,train
17,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",5,caused,0.3263784414317628,0.8225806451612904,test
18,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",4,enabled,0.0567867444665523,0.0967741935483871,train
19,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",5,enabled,0.3263784414317629,0.0967741935483871,test
20,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",4,affected,0.5481603898998295,0.2903225806451613,train
21,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",5,affected,0.3263784414317629,0.06451612903225806,test
22,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",4,didn't affect,0.33826612116706595,0.5806451612903226,train
23,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",5,didn't affect,0.020864675704711278,0.016129032258064516,test
24,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",6,caused,0.26877633184930194,0.3064516129032258,train
25,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",7,caused,0.030043325087003813,0.016129032258064516,test
26,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",6,enabled,0.3537549895582901,0.1935483870967742,train
27,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",7,enabled,0.46995667491299625,0.7258064516129032,test
28,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",6,affected,0.35472915464263943,0.43548387096774194,train
29,0,semantics,and_hmu_or_ws,or_ws,or_whs,"[1.1, 1.0, 0.9, 0.9, None, 2.75]",7,affected,0.46995667491299625,0.04838709677419355,test
