,split,use,model,beta,trial,verb,model_pred,data_val
0,0,train,regression,2.048216091129051,30,enabled,0.6535919508597148,0.7934
1,0,train,regression,2.048216091129051,34,enabled,0.429199821751394,0.1744
2,0,train,regression,2.048216091129051,28,enabled,0.49975841885567507,0.502
3,0,train,regression,2.048216091129051,3,affected,0.7016248954187773,0.4784
4,0,train,regression,2.048216091129051,19,no_difference,0.5,0.4882
5,0,train,regression,2.048216091129051,17,caused,0.33907982873119197,0.2198
6,0,train,regression,2.048216091129051,21,no_difference,0.286748936548775,0.1978
7,0,train,regression,2.048216091129051,23,no_difference,0.34299231555866394,0.282
8,0,train,regression,2.048216091129051,29,enabled,0.47344526312131535,0.4366
9,0,train,regression,2.048216091129051,26,no_difference,0.14348620934265197,0.1842
10,0,train,regression,2.048216091129051,27,enabled,0.5739833587124804,0.5834
11,0,train,regression,2.048216091129051,33,enabled,0.6125660260836875,0.781
12,0,train,regression,2.048216091129051,24,no_difference,0.7433318732020491,0.723
13,0,train,regression,2.048216091129051,25,no_difference,0.18029335318258666,0.234
14,0,train,regression,2.048216091129051,4,affected,0.6423868347525713,0.4196
15,0,train,regression,2.048216091129051,2,affected,0.45652277595869856,0.6936
16,0,train,regression,2.048216091129051,14,caused,0.6604661788631863,0.6836
17,0,train,regression,2.048216091129051,10,caused,0.5189932074140448,0.5508
18,0,test,regression,2.048216091129051,32,enabled,0.39713733704877785,0.7004
19,0,test,regression,2.048216091129051,22,no_difference,0.266964250373495,0.197
20,0,test,regression,2.048216091129051,31,enabled,0.3911614670265705,0.2504
21,0,test,regression,2.048216091129051,20,no_difference,0.47907731943428555,0.2886
22,0,test,regression,2.048216091129051,18,no_difference,0.43979379224194415,0.2762
23,0,test,regression,2.048216091129051,6,affected,0.39726890388365493,0.2102
24,0,test,regression,2.048216091129051,13,caused,0.34686609721396516,0.3462
25,0,test,regression,2.048216091129051,7,affected,0.39726890388365493,0.1922
26,0,test,regression,2.048216091129051,35,enabled,0.46419208945572227,0.7284
27,0,test,regression,2.048216091129051,1,affected,0.4355466973294444,0.4442
28,0,test,regression,2.048216091129051,16,caused,0.2691329649172399,0.1916
29,0,test,regression,2.048216091129051,0,affected,0.5242662301737016,0.6858
30,0,test,regression,2.048216091129051,15,caused,0.3770392727790712,0.1278
31,0,test,regression,2.048216091129051,5,affected,0.36942675294427235,0.2108
32,0,test,regression,2.048216091129051,11,caused,0.6211237913996646,0.539
33,0,test,regression,2.048216091129051,9,caused,0.36454362566966836,0.4966
34,0,test,regression,2.048216091129051,8,affected,0.39726890388365493,0.1424
35,0,test,regression,2.048216091129051,12,caused,0.8261253641242393,0.6706
36,1,train,regression,2.3095238669383953,16,caused,0.24481129621908834,0.1916
37,1,train,regression,2.3095238669383953,31,enabled,0.3778045111680872,0.2504
38,1,train,regression,2.3095238669383953,26,no_difference,0.11768196854311928,0.1842
39,1,train,regression,2.3095238669383953,22,no_difference,0.24251431586580066,0.197
40,1,train,regression,2.3095238669383953,5,affected,0.3536827960815882,0.2108
41,1,train,regression,2.3095238669383953,14,caused,0.6792352140709343,0.6836
42,1,train,regression,2.3095238669383953,35,enabled,0.45964252488058926,0.7284
43,1,train,regression,2.3095238669383953,30,enabled,0.6716949020778548,0.7934
44,1,train,regression,2.3095238669383953,28,enabled,0.4997275983675489,0.502
45,1,train,regression,2.3095238669383953,2,affected,0.4510095897861198,0.6936
46,1,train,regression,2.3095238669383953,9,caused,0.3482836756644446,0.4966
47,1,train,regression,2.3095238669383953,29,enabled,0.4700651002766171,0.4366
48,1,train,regression,2.3095238669383953,34,enabled,0.42031235628907515,0.1744
49,1,train,regression,2.3095238669383953,18,no_difference,0.43220196769174757,0.2762
50,1,train,regression,2.3095238669383953,27,enabled,0.5832564365949794,0.5834
51,1,train,regression,2.3095238669383953,12,caused,0.852862575221146,0.6706
52,1,train,regression,2.3095238669383953,11,caused,0.6358473705365834,0.539
53,1,train,regression,2.3095238669383953,20,no_difference,0.47641177921636946,0.2886
54,1,test,regression,2.3095238669383953,4,affected,0.659365134975158,0.4196
55,1,test,regression,2.3095238669383953,23,no_difference,0.3245560465646689,0.282
56,1,test,regression,2.3095238669383953,33,enabled,0.626342165804369,0.781
57,1,test,regression,2.3095238669383953,21,no_difference,0.2635731277716078,0.1978
58,1,test,regression,2.3095238669383953,6,affected,0.38460683852299904,0.2102
59,1,test,regression,2.3095238669383953,3,affected,0.7239485232383661,0.4784
60,1,test,regression,2.3095238669383953,7,affected,0.38460683852299904,0.1922
61,1,test,regression,2.3095238669383953,32,enabled,0.3844602000032439,0.7004
62,1,test,regression,2.3095238669383953,25,no_difference,0.15348036046286295,0.234
63,1,test,regression,2.3095238669383953,10,caused,0.5214135307228984,0.5508
64,1,test,regression,2.3095238669383953,15,caused,0.3621151546779285,0.1278
65,1,test,regression,2.3095238669383953,19,no_difference,0.5,0.4882
66,1,test,regression,2.3095238669383953,13,caused,0.3288081904457904,0.3462
67,1,test,regression,2.3095238669383953,24,no_difference,0.7683504211528915,0.723
68,1,test,regression,2.3095238669383953,8,affected,0.38460683852299904,0.1424
69,1,test,regression,2.3095238669383953,17,caused,0.32026747056444366,0.2198
70,1,test,regression,2.3095238669383953,0,affected,0.527356240365661,0.6858
71,1,test,regression,2.3095238669383953,1,affected,0.4274332922745639,0.4442
72,2,train,regression,2.02118127377742,18,no_difference,0.440580913013682,0.2762
73,2,train,regression,2.02118127377742,28,enabled,0.49976160753344406,0.502
74,2,train,regression,2.02118127377742,11,caused,0.6195871450385587,0.539
75,2,train,regression,2.02118127377742,35,enabled,0.4646631393865151,0.7284
76,2,train,regression,2.02118127377742,30,enabled,0.6516922682090196,0.7934
77,2,train,regression,2.02118127377742,4,affected,0.6406088092704145,0.4196
78,2,train,regression,2.02118127377742,13,caused,0.3487608882166128,0.3462
79,2,train,regression,2.02118127377742,31,enabled,0.3925531103235344,0.2504
80,2,train,regression,2.02118127377742,21,no_difference,0.289215136643715,0.1978
81,2,train,regression,2.02118127377742,16,caused,0.27173460700631,0.1916
82,2,train,regression,2.02118127377742,34,enabled,0.4301220300453182,0.1744
83,2,train,regression,2.02118127377742,12,caused,0.8231508233618184,0.6706
84,2,train,regression,2.02118127377742,1,affected,0.43638815833478223,0.4442
85,2,train,regression,2.02118127377742,17,caused,0.3410567822944548,0.2198
86,2,train,regression,2.02118127377742,20,no_difference,0.4793531659734662,0.2886
87,2,train,regression,2.02118127377742,32,enabled,0.3984571484025707,0.7004
88,2,train,regression,2.02118127377742,26,no_difference,0.14640883758125892,0.1842
89,2,train,regression,2.02118127377742,14,caused,0.658493957222368,0.6836
90,2,test,regression,2.02118127377742,24,no_difference,0.7406449158569292,0.723
91,2,test,regression,2.02118127377742,29,enabled,0.47379511797114776,0.4366
92,2,test,regression,2.02118127377742,7,affected,0.3985871247625794,0.1922
93,2,test,regression,2.02118127377742,22,no_difference,0.2695813878259824,0.197
94,2,test,regression,2.02118127377742,15,caused,0.37859727167122237,0.1278
95,2,test,regression,2.02118127377742,33,enabled,0.6111299956331281,0.781
96,2,test,regression,2.02118127377742,10,caused,0.5187427487195633,0.5508
97,2,test,regression,2.02118127377742,2,affected,0.4570938004115252,0.6936
98,2,test,regression,2.02118127377742,0,affected,0.5239464285856873,0.6858
99,2,test,regression,2.02118127377742,8,affected,0.3985871247625794,0.1424
100,2,test,regression,2.02118127377742,6,affected,0.3985871247625794,0.2102
101,2,test,regression,2.02118127377742,19,no_difference,0.5,0.4882
102,2,test,regression,2.02118127377742,25,no_difference,0.1832662853830387,0.234
103,2,test,regression,2.02118127377742,5,affected,0.3710722666292199,0.2108
104,2,test,regression,2.02118127377742,27,enabled,0.5730208748861394,0.5834
105,2,test,regression,2.02118127377742,23,no_difference,0.344928248699502,0.282
106,2,test,regression,2.02118127377742,3,affected,0.6992568488888494,0.4784
107,2,test,regression,2.02118127377742,9,caused,0.36624441642243993,0.4966
108,3,train,regression,2.6449001549452356,6,affected,0.3685839932235041,0.2102
109,3,train,regression,2.6449001549452356,22,no_difference,0.21343634235321265,0.197
110,3,train,regression,2.6449001549452356,5,affected,0.33393557783240563,0.2108
111,3,train,regression,2.6449001549452356,29,enabled,0.4657308827609247,0.4366
112,3,train,regression,2.6449001549452356,14,caused,0.7024951351853237,0.6836
113,3,train,regression,2.6449001549452356,23,no_difference,0.3016735179625269,0.282
114,3,train,regression,2.6449001549452356,30,enabled,0.6941969044500301,0.7934
115,3,train,regression,2.6449001549452356,3,affected,0.751034823171039,0.4784
116,3,train,regression,2.6449001549452356,2,affected,0.4439514432710729,0.6936
117,3,train,regression,2.6449001549452356,33,enabled,0.6437247835957356,0.781
118,3,train,regression,2.6449001549452356,9,caused,0.3279255964993905,0.4966
119,3,train,regression,2.6449001549452356,1,affected,0.4170776169152986,0.4442
120,3,train,regression,2.6449001549452356,15,caused,0.3433467375961913,0.1278
121,3,train,regression,2.6449001549452356,21,no_difference,0.23564896030546845,0.1978
122,3,train,regression,2.6449001549452356,24,no_difference,0.7978862176259089,0.723
123,3,train,regression,2.6449001549452356,31,enabled,0.3609319141856599,0.2504
124,3,train,regression,2.6449001549452356,19,no_difference,0.5,0.4882
125,3,train,regression,2.6449001549452356,26,no_difference,0.09053573963941686,0.1842
126,3,test,regression,2.6449001549452356,17,caused,0.29695860788899076,0.2198
127,3,test,regression,2.6449001549452356,10,caused,0.5245184140433026,0.5508
128,3,test,regression,2.6449001549452356,25,no_difference,0.12395234360142439,0.234
129,3,test,regression,2.6449001549452356,0,affected,0.5313190220273243,0.6858
130,3,test,regression,2.6449001549452356,18,no_difference,0.4225051573061695,0.2762
131,3,test,regression,2.6449001549452356,16,caused,0.21584245987026204,0.1916
132,3,test,regression,2.6449001549452356,28,enabled,0.49968804171804154,0.502
133,3,test,regression,2.6449001549452356,34,enabled,0.40898172694788154,0.1744
134,3,test,regression,2.6449001549452356,27,enabled,0.5950713816247339,0.5834
135,3,test,regression,2.6449001549452356,35,enabled,0.4538133172921587,0.7284
136,3,test,regression,2.6449001549452356,4,affected,0.6805663201387473,0.4196
