,split,model,caused_version,enabled_version,affected_version,model_params,trial,verb,model_pred,data_val,use
44,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",14,affected,0.2950830699162735,0.3709677419354839,train
45,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",9,affected,0.17574756531966604,0.16129032258064516,test
46,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",14,didn't affect,3.227832855287776e-07,0.016129032258064516,train
47,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",9,didn't affect,0.008473218058508463,0.08064516129032258,test
48,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",17,caused,0.04707875504706648,0.06451612903225806,train
49,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",11,caused,0.3113970049330138,0.1935483870967742,test
50,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",17,enabled,0.19765668449489834,0.1774193548387097,train
51,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",11,enabled,0.3922132148258849,0.532258064516129,test
52,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",17,affected,0.4382455062397366,0.6612903225806451,train
53,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",11,affected,0.2954212899354431,0.25806451612903225,test
54,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",17,didn't affect,0.3170190542182986,0.0967741935483871,train
55,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",11,didn't affect,0.0009684903056582756,0.016129032258064516,test
56,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",19,caused,0.30395918590415555,0.25806451612903225,train
57,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",12,caused,0.6018243514074547,0.9193548387096774,test
58,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",19,enabled,0.3828450742645164,0.2903225806451613,train
59,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",12,enabled,0.22740436794836622,0.06451612903225806,test
60,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",19,affected,0.2997723050775961,0.3548387096774194,train
61,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",12,affected,0.170771280644179,0.016129032258064516,test
62,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",19,didn't affect,0.013423434753731738,0.0967741935483871,train
63,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",12,didn't affect,0.0,0.0,test
64,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",20,caused,0.39623038320772547,0.1774193548387097,train
65,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",13,caused,0.31197536605334814,0.5806451612903226,test
