participant,trial,response
5,6,cause
5,7,no_difference
5,8,enable
5,9,no_difference
5,10,cause
5,11,cause
5,12,cause
5,13,affect
5,14,cause
5,15,affect
5,16,affect
5,17,no_difference
5,18,enable
5,19,affect
5,20,enable
5,21,cause
5,22,no_difference
5,23,no_difference
5,24,enable
5,25,no_difference
5,26,affect
5,27,no_difference
5,28,no_difference
5,29,no_difference
5,30,no_difference
6,0,no_difference
6,1,enable
6,2,no_difference
6,3,affect
6,4,affect
6,5,affect
6,6,affect
6,7,enable
6,8,enable
6,9,affect
6,10,affect
6,11,affect
6,12,enable
6,13,affect
6,14,affect
6,15,affect
6,16,affect
6,17,affect
6,18,affect
6,19,enable
6,20,enable
6,21,enable
6,22,no_difference
6,23,no_difference
6,24,affect
6,25,enable
6,26,enable
6,27,affect
6,28,no_difference
6,29,no_difference
6,30,no_difference
7,0,no_difference
7,1,enable
7,2,no_difference
7,3,cause
7,4,no_difference
7,5,cause
7,6,cause
7,7,enable
7,8,cause
7,9,cause
7,10,cause
7,11,enable
7,12,cause
7,13,cause
7,14,affect
7,15,cause
7,16,cause
7,17,affect
7,18,enable
7,19,enable
7,20,affect
7,21,enable
7,22,no_difference
7,23,no_difference
7,24,cause
7,25,enable
7,26,affect
7,27,enable
7,28,affect
7,29,no_difference
7,30,no_difference
8,0,no_difference
8,1,enable
8,2,no_difference
8,3,cause
8,4,no_difference
8,5,cause
8,6,cause
8,7,affect
8,8,cause
8,9,cause
8,10,enable
8,11,cause
8,12,cause
8,13,cause
8,14,affect
8,15,cause
8,16,cause
8,17,affect
8,18,enable
8,19,cause
8,20,affect
8,21,enable
8,22,no_difference
8,23,no_difference
8,24,enable
8,25,enable
8,26,cause
8,27,enable
8,28,no_difference
8,29,no_difference
8,30,no_difference
9,0,no_difference
9,1,enable
9,2,no_difference
9,3,affect
9,4,no_difference
9,5,cause
9,6,cause
9,7,enable
9,8,affect
9,9,cause
9,10,cause
9,11,enable
9,12,cause
9,13,cause
9,14,enable
9,15,cause
9,16,cause
9,17,affect
9,18,enable
9,19,affect
9,20,affect
9,21,enable
9,22,no_difference
9,23,no_difference
9,24,cause
9,25,enable
9,26,affect
9,27,enable
9,28,affect
9,29,no_difference
9,30,no_difference
10,0,no_difference
10,1,affect
10,2,no_difference
10,3,enable
10,4,affect
10,5,cause
10,6,cause
10,7,enable
10,8,enable
10,9,cause
10,10,affect
10,11,enable
10,12,cause
10,13,cause
10,14,affect
10,15,cause
10,16,affect
10,17,cause
10,18,enable
10,19,affect
10,20,affect
10,21,affect
10,22,no_difference
10,23,no_difference
10,24,enable
10,25,enable
10,26,affect
10,27,affect
10,28,affect
10,29,no_difference
10,30,no_difference
11,0,no_difference
11,1,no_difference
11,2,affect
11,3,affect
11,4,affect
11,5,cause
11,6,affect
11,7,enable
11,8,cause
11,9,cause
11,10,affect
11,11,enable
11,12,cause
11,13,affect
11,14,affect
11,15,cause
11,16,affect
11,17,affect
11,18,enable
11,19,affect
11,20,affect
11,21,enable
11,22,no_difference
11,23,no_difference
11,24,affect
11,25,no_difference
11,26,affect
11,27,affect
11,28,affect
11,29,no_difference
11,30,no_difference
12,0,no_difference
12,1,enable
12,2,no_difference
12,3,no_difference
12,4,no_difference
12,5,affect
12,6,affect
12,7,enable
12,8,enable
12,9,affect
12,10,enable
12,11,affect
12,12,cause
12,13,affect
12,14,enable
12,15,enable
12,16,enable
12,17,enable
12,18,enable
12,19,affect
12,20,no_difference
12,21,affect
12,22,no_difference
12,23,no_difference
12,24,affect
12,25,enable
12,26,enable
12,27,enable
12,28,no_difference
12,29,no_difference
12,30,no_difference
13,0,no_difference
13,1,enable
13,2,no_difference
13,3,cause
13,4,no_difference
13,5,cause
13,6,enable
13,7,enable
13,8,affect
13,9,cause
13,10,affect
13,11,enable
13,12,cause
13,13,cause
13,14,affect
13,15,cause
13,16,cause
13,17,affect
13,18,enable
13,19,affect
13,20,affect
13,21,enable
13,22,no_difference
13,23,no_difference
