"","trial","response","data_ymin","data_ymax","data_y"
"1",0,"no_difference",0.903225806451613,1,0.951612903225806
"2",0,"affect",0,0.0483870967741935,0.0161290322580645
"3",0,"enable",0,0.0483870967741935,0.0161290322580645
"4",0,"cause",0,0.0483870967741935,0.0161290322580645
"5",1,"no_difference",0.032258064516129,0.17741935483871,0.0967741935483871
"6",1,"affect",0.0483870967741935,0.193548387096774,0.112903225806452
"7",1,"enable",0.645161290322581,0.854838709677419,0.758064516129032
"8",1,"cause",0,0.0806451612903226,0.032258064516129
"9",2,"no_difference",0.516129032258065,0.741935483870968,0.629032258064516
"10",2,"affect",0.145161290322581,0.354838709677419,0.241935483870968
"11",2,"enable",0,0.0806451612903226,0.032258064516129
"12",2,"cause",0.032258064516129,0.17741935483871,0.0967741935483871
"13",3,"no_difference",0,0.112903225806452,0.0483870967741935
"14",3,"affect",0.241935483870968,0.483870967741935,0.354838709677419
"15",3,"enable",0.0483870967741935,0.193951612903225,0.112903225806452
"16",3,"cause",0.354838709677419,0.596774193548387,0.483870967741935
"17",4,"no_difference",0.467338709677419,0.693951612903225,0.580645161290323
"18",4,"affect",0.193145161290323,0.403629032258064,0.290322580645161
"19",4,"enable",0.032258064516129,0.17741935483871,0.0967741935483871
"20",4,"cause",0,0.0806451612903226,0.032258064516129
"21",5,"no_difference",0,0.0483870967741935,0.0161290322580645
"22",5,"affect",0.0161290322580645,0.129032258064516,0.0645161290322581
"23",5,"enable",0.032258064516129,0.17741935483871,0.0967741935483871
"24",5,"cause",0.725806451612903,0.919354838709677,0.82258064516129
"25",6,"no_difference",0.0161290322580645,0.129032258064516,0.0645161290322581
"26",6,"affect",0.306451612903226,0.564516129032258,0.435483870967742
"27",6,"enable",0.0967741935483871,0.290322580645161,0.193548387096774
"28",6,"cause",0.193548387096774,0.435483870967742,0.306451612903226
"29",7,"no_difference",0.112903225806452,0.32258064516129,0.209677419354839
"30",7,"affect",0,0.112903225806452,0.0483870967741935
"31",7,"enable",0.596774193548387,0.838709677419355,0.725806451612903
"32",7,"cause",0,0.0483870967741935,0.0161290322580645
"33",8,"no_difference",0,0.0806451612903226,0.032258064516129
"34",8,"affect",0.193548387096774,0.435483870967742,0.306451612903226
"35",8,"enable",0.161290322580645,0.354838709677419,0.258064516129032
"36",8,"cause",0.274193548387097,0.516129032258065,0.403225806451613
"37",9,"no_difference",0.0161290322580645,0.145161290322581,0.0806451612903226
"38",9,"affect",0.0806451612903226,0.258064516129032,0.161290322580645
"39",9,"enable",0.032258064516129,0.193548387096774,0.112903225806452
"40",9,"cause",0.532258064516129,0.758064516129032,0.645161290322581
"41",10,"no_difference",0,0.0806451612903226,0.032258064516129
"42",10,"affect",0.354838709677419,0.612903225806452,0.483870967741935
"43",10,"enable",0.0967741935483871,0.290322580645161,0.193548387096774
"44",10,"cause",0.17741935483871,0.403225806451613,0.290322580645161
"45",11,"no_difference",0,0.0483870967741935,0.0161290322580645
"46",11,"affect",0.145161290322581,0.370967741935484,0.258064516129032
"47",11,"enable",0.403225806451613,0.661290322580645,0.532258064516129
"48",11,"cause",0.0967741935483871,0.306451612903226,0.193548387096774
"49",12,"no_difference",0,0,0
"50",12,"affect",0,0.0483870967741935,0.0161290322580645
"51",12,"enable",0.0161290322580645,0.129032258064516,0.0645161290322581
"52",12,"cause",0.854838709677419,0.983870967741935,0.919354838709677
"53",13,"no_difference",0,0.0483870967741935,0.0161290322580645
"54",13,"affect",0.112903225806452,0.306854838709677,0.209677419354839
"55",13,"enable",0.0967741935483871,0.290322580645161,0.193548387096774
"56",13,"cause",0.467741935483871,0.693548387096774,0.580645161290323
"57",14,"no_difference",0,0.0487903225806448,0.0161290322580645
"58",14,"affect",0.258064516129032,0.483870967741935,0.370967741935484
"59",14,"enable",0.258064516129032,0.483870967741935,0.370967741935484
"60",14,"cause",0.145161290322581,0.354838709677419,0.241935483870968
"61",15,"no_difference",0,0,0
"62",15,"affect",0.0967741935483871,0.290322580645161,0.193548387096774
"63",15,"enable",0.0645161290322581,0.241935483870968,0.145161290322581
"64",15,"cause",0.532258064516129,0.774193548387097,0.661290322580645
"65",16,"no_difference",0,0.0483870967741935,0.0161290322580645
"66",16,"affect",0.0483870967741935,0.209677419354839,0.129032258064516
"67",16,"enable",0.047983870967742,0.193548387096774,0.112903225806452
"68",16,"cause",0.629032258064516,0.838709677419355,0.741935483870968
"69",17,"no_difference",0.032258064516129,0.17741935483871,0.0967741935483871
