caused,enabled,affected,nll,nap,so
(w|h)&s,(w&h)|s,w|s,2166.84,0.1597388620481973,24.492372160768674
w&(h|s),w,w|s,2168.01,0.166068798508525,26.523017073859542
h,(w&s)|h,w|h|s,2168.01,0.5084634296985769,29.71847638147234
w&h&s,(w&h)|s,h|s,2168.47,0.2108470357353346,21.84410400120035
w&h,w&(h|s),(w&h)|s,2168.52,0.17726679599664558,25.816758121013656
h&s,(w&s)|h,h|s,2170.05,0.38602829278335554,23.454678488793245
(w|s)&h,h,w|h,2170.3,0.44100316541284595,28.16333736735484
w&h&s,(w|h)&s,(w&s)|h,2171.59,0.1862400111585935,21.4331865941974
w&h,(w&s)|h,h|s,2171.97,0.4192730286199588,26.553584290714156
w&h&s,w&(h|s),(w&s)|h,2172.92,0.21609045075618127,21.52221466873313
w&h&s,w|(h&s),w|h,2173.58,0.21560645153591326,21.7872148293094
w&s,s,h|s,2174.11,0.19598813167457055,22.090374545628865
w&h&s,s,w|s,2174.17,0.09519217418295312,21.019286407388442
w&h,(w|s)&h,(w&s)|h,2174.91,0.29791204046702296,26.693348464734733
w&h&s,w,w|h|s,2176.14,0.17469009400759405,21.116117206223937
w&h&s,w&s,(w|h)&s,2177.21,0.13267540799157573,23.733175358754405
(w|h)&s,h|s,w|h|s,2178.39,0.3758752758534261,24.190172514772836
s,(w&h)|s,w|h|s,2178.63,0.25642489557652526,24.667729531356013
w&h&s,w,w|(h&s),2182.15,0.12947222423583235,21.398402604922467
(w|h)&s,w|(h&s),w|s,2182.59,0.1592645196483694,24.011529522157833
w&(h|s),w|h,w|h|s,2182.73,0.3968437453660323,26.961688088465888
w&h&s,(w&h)|s,w|h|s,2183.13,0.179990167806812,21.227294079214623
h&s,(w|s)&h,w|h,2184.85,0.23787787069870764,22.708046076869728
w&(h|s),w|(h&s),w|s,2185.13,0.1644586789259724,26.760117868196904
w&h&s,(w|h)&s,w|h,2186.02,0.1574825449281687,20.96482769390858
(w|s)&h,h,h|s,2187.94,0.43046208195709085,26.914310879607466
w&(h|s),(w&s)|h,w|h,2188.18,0.42134961333946713,27.33967802271711
h&s,(w&s)|h,w|h|s,2188.2,0.35639352568650157,22.700699432528705
w&s,s,w|h|s,2188.26,0.17016005064010978,21.60788364888065
w&h&s,w&(h|s),w|h,2188.7,0.18300622268503774,20.92442621674624
h&s,h,(w&s)|h,2189.32,0.4092334492224283,23.36705644971593
w&h,w&(h|s),w|s,2189.92,0.17536206082709976,24.699960486097773
(w|h)&s,w|h,w|h|s,2191.29,0.3737227650928488,23.847943224242652
w&h&s,(w|h)&s,h|s,2192.59,0.14782956862810548,20.779360588711164
h&s,(w|s)&h,h|s,2194.36,0.21926674509890087,22.26153208454736
w&h,h,(w&s)|h,2194.62,0.4501530728050596,26.55408057923872
w&s,w|s,w|h|s,2195.31,0.20607948202400073,21.914783877448762
w&h,(w&s)|h,w|h|s,2195.48,0.39804596354841804,25.286562261643518
w&h&s,w&(h|s),h|s,2195.89,0.16966690666968573,20.661575165785056
w&h&s,w|(h&s),w|h|s,2195.91,0.1679918594957742,20.8409092351868
w&s,s,(w&h)|s,2196.81,0.11494954399012529,21.7757750644956
w&(h|s),(w&s)|h,h|s,2197.34,0.41537768415474935,26.750396058415337
(w|h)&s,(w&s)|h,w|h,2197.76,0.39600305892422105,23.95798764621215
w&s,w,w|h,2199.4,0.21053070216448766,21.615785799718044
w&h,(w|s)&h,w|h,2201.22,0.2676492843884287,25.125270993617946
(w|h)&s,(w&s)|h,h|s,2203.09,0.3874451343961799,23.725281864110947
w,w|h,w|h|s,2203.7,0.3950511572494103,26.721039827355906
w&h&s,(w|h)&s,w|h|s,2203.85,0.12531171214104453,20.41442055978777
w,w|(h&s),w|s,2205.33,0.1659008803052866,26.402265653533455
h&s,(w|h)&s,s,2205.64,0.16742291644168777,24.15951191382024
w&s,(w&h)|s,h|s,2207.08,0.21218221347991528,21.69207885134104
w&h&s,w,w|s,2207.53,0.1060771700987305,20.37531569555263
w&h&s,w&(h|s),w|h|s,2207.74,0.14489897784816552,20.231538441559664
h&s,(w|s)&h,w|h|s,2208.86,0.19410552409458298,21.690337089043158
w&h&s,w&(h|s),w,2208.91,0.13646600937229975,21.049690464951727
w&h&s,(w|h)&s,w|(h&s),2210.36,0.09028477947784945,20.49130487709171
h&s,h,w|h,2210.54,0.36815949553013627,22.407680758589695
(w|s)&h,h,w|h|s,2210.54,0.41266965117345544,25.641180640916705
s,(w&h)|s,w|s,2210.65,0.15961852613906605,24.073914463813978
w&h&s,(w&h)|s,w|s,2212.15,0.1076756399403393,20.55878965654291
w&h&s,w&h,h,2213.0,0.20402779917716565,20.560071425816332
w&h,(w|s)&h,h|s,2213.13,0.25102656749407193,24.360471612492454
w&s,s,w|s,2213.82,0.09993257201404343,21.1285177840143
h&s,(w|s)&h,w|(h&s),2214.9,0.15662505962511827,22.11893918162475
w&h&s,w&(h|s),w|(h&s),2215.28,0.11066677045873817,20.365219800902835
w&s,w,w|h|s,2216.11,0.17548223371915989,20.984677951131065
w&s,w|(h&s),w|h,2216.5,0.2096690222304835,21.42769542146408
w&h&s,(w|s)&h,h,2217.79,0.21884740336948977,20.776215177632597
w&s,w&(h|s),(w&s)|h,2218.41,0.20933565142176355,21.206694813873487
w&h&s,(w|h)&s,(w&h)|s,2218.72,0.08460703978013004,20.212600230908727
h&s,h,h|s,2220.24,0.3457978817397786,21.918711116110995
w&(h|s),(w&s)|h,w|h|s,2221.59,0.39209662719517746,25.247305721077847
w&s,(w&h)|s,w|h|s,2222.07,0.1781289774837439,21.015442744929967
w&s,(w|h)&s,(w&s)|h,2222.13,0.1829077785047492,21.27805600296054
w&h,h,w|h,2222.19,0.4181827351003858,24.898565534843364
(w|h)&s,(w&s)|h,w|h|s,2222.4,0.3529772508024779,22.78777024321776
s,h|s,w|h|s,2222.59,0.3673155881028674,23.7431066649573
w&s,w,w|(h&s),2222.83,0.1261183045463282,21.237704749515704
w&h&s,w&(h|s),(w&h)|s,2224.03,0.10221373195698905,20.007155878229973
w&h&s,w|(h&s),w|s,2224.39,0.10002088290390868,20.159345475312115
w&h&s,h|s,w|h|s,2225.0,0.2586614371637601,20.52000543655231
h&s,(w|s)&h,(w&h)|s,2226.3,0.14581096346713032,21.51081326119222
w&h&s,w&h,(w|s)&h,2227.91,0.12917371444615522,20.461646757807937
w&h&s,w&s,s,2228.96,0.09621117763831614,20.884642877711418
w&h,(w|s)&h,w|h|s,2229.97,0.22870943360159413,23.483271420938074
w&h&s,(w|h)&s,w|s,2231.51,0.06928410375182598,19.76528180911891
w&h&s,w&h,(w&s)|h,2233.37,0.15079886930707923,19.767990429937125
w&s,w|(h&s),w|h|s,2233.61,0.16806579225716445,20.68450698175458
w&s,w&(h|s),w|h,2233.85,0.17284160452138858,20.55299681439124
w&h,h,h|s,2234.55,0.3987616507990632,24.099582722994505
h&s,h,w|h|s,2234.96,0.31460231187864945,21.289336791937615
w&h&s,w|h,w|h|s,2235.42,0.24550480099095823,20.168584091143572
w&s,w&(h|s),h|s,2236.06,0.16854841059139117,20.51317719907136
w&s,(w|h)&s,w|h,2236.17,0.15105968479364,20.725036505721377
w&h&s,w&(h|s),w|s,2237.05,0.08530308100951825,19.503225666574327
w&s,(w|h)&s,h|s,2237.98,0.14969455177829866,20.74301866126069
w&h&s,(w&s)|h,w|h,2238.09,0.26533876573276205,20.308730790904704
w&h&s,h&s,h,2238.84,0.1535214226361911,20.12783220826441
w&h&s,(w|s)&h,(w&s)|h,2239.65,0.15504609369257422,19.80163038800417
w&h,(w|s)&h,w|(h&s),2240.79,0.18040935858611942,23.783262450230563
h&s,(w|s)&h,w|s,2242.11,0.1300981351338081,20.81611067807078
w&s,w,w|s,2242.44,0.10600508798210087,20.399555383020363
w&h&s,w&h,w&(h|s),2244.24,0.12602277403744852,20.23899805744721
w&h&s,(w&s)|h,h|s,2245.3,0.24446605272424138,19.953139218044818
w&h&s,w&h,w|h,2245.63,0.11932811017097639,19.28639559530519
w&s,(w&h)|s,w|s,2246.26,0.10741269584808782,20.529083378259415
w&s,w&(h|s),w,2247.32,0.13447062462616433,21.013349353114286
w&s,w&(h|s),w|h|s,2248.18,0.1398010392940901,20.00756125443236
w&s,(w|h)&s,w|h|s,2249.36,0.12355904175415884,20.286643981829037
w&h&s,w&h,h|s,2251.13,0.10300216078135188,19.040284727692573
w&h,h,w|h|s,2251.95,0.3713905788199116,23.170905664478575
w&h&s,(w|s)&h,w|h,2252.49,0.11793853405068404,19.235740732128413
w&h,(w|s)&h,(w&h)|s,2253.52,0.17339155279513985,22.853494595072757
w&h&s,h&s,(w|s)&h,2253.63,0.08936064513236244,19.838826009158552
w&h&s,h&s,(w&s)|h,2256.23,0.10591633556805022,19.473080482883987
w&s,w&(h|s),w|(h&s),2256.35,0.10298609962090427,20.096833930596024
w&h&s,(w&s)|h,w|h|s,2256.85,0.20930762653280804,19.41796171190443
w&s,w|(h&s),w|s,2256.88,0.10043696401706009,20.21559915824711
w&s,(w|h)&s,w|(h&s),2258.13,0.08259727895681247,20.166505130264397
w&h&s,(w|s)&h,h|s,2258.23,0.09878261327862929,18.95133920338261
w&s,w&(h|s),(w&h)|s,2259.09,0.10148459080601088,20.014591777023007
w&s,h|s,w|h|s,2259.89,0.24800556056883685,20.33219855044356
w&h&s,w&h,w|h|s,2260.51,0.07892888354430022,18.68301371952669
w&s,(w|h)&s,(w&h)|s,2260.52,0.08344423726511095,20.149698618625507
w&h&s,(w|h)&s,s,2261.05,0.08279568226061738,20.059774142989937
w&h&s,h,(w&s)|h,2262.08,0.24087700692714456,19.629851589654024
w&h&s,w&h,w,2265.6,0.09194802508494379,19.217278237043132
w&h&s,h&s,w|h,2266.96,0.07642592265778018,19.04881279015731
w&h&s,(w|s)&h,w|h|s,2267.86,0.07073856837568243,18.545560370399716
w&h&s,w&h,w|(h&s),2268.75,0.0673483015556969,18.76045011536785
w&s,w|h,w|h|s,2268.83,0.23701115272439616,20.05375537046376
w&h,(w|s)&h,w|s,2270.16,0.1611717375466047,21.900389058660647
w&h&s,h&s,h|s,2271.74,0.060924245613157575,18.829758832618037
w&s,w&(h|s),w|s,2272.88,0.08077630226648873,19.393121505496005
w&h&s,(w|s)&h,w|(h&s),2272.89,0.06775175962638133,18.84769395626739
w&s,(w|h)&s,w|s,2273.57,0.06453496417166606,19.592252290534574
w&h&s,h,w|h,2275.08,0.19350120360377465,18.97013172353017
w&h&s,w&h,(w&h)|s,2275.25,0.05401344958185288,18.443573910248407
w&s,(w&s)|h,w|h,2276.0,0.24216689327334087,19.931376860507328
w&s,(w&s)|h,h|s,2278.5,0.2354390683872363,19.84347857841221
w&h&s,(w|s)&h,(w&h)|s,2279.91,0.05178457360977721,18.471299120675692
w&h&s,h&s,w|h|s,2280.15,0.03709219611359982,18.496660146942542
w&h&s,h,h|s,2280.85,0.16883495708632207,18.64000234493815
w&h&s,w&h,w|s,2285.53,0.03446463177820496,18.024324132415373
w&h&s,h&s,w|(h&s),2288.63,0.02942091976941957,18.445147154204342
w&h&s,h,w|h|s,2290.44,0.13158483740755952,18.16561580101225
w&s,(w&s)|h,w|h|s,2290.45,0.1924600447332775,19.201411604019018
w&h&s,(w|s)&h,w|s,2290.75,0.028508571664681143,17.982839279405827
w&s,(w|h)&s,s,2291.64,0.09395912040524047,20.49981555316817
w&h&s,h&s,(w&h)|s,2294.3,0.016001733875268237,18.164593384221128
w&h&s,h&s,(w|h)&s,2296.99,0.0779948243312102,19.889062066088
w&h&s,h&s,w|s,2303.57,0.0,17.789653943529007
w&h&s,h&s,s,2332.1,0.0,17.362331341458532
