caused,enabled,affected,nll,nap,so
(w|s)&h,w|s,w|h|s,1897.71,0.23885294268644924,39.89447433856191
(w|s)&h,(w&h)|s,h|s,1919.9,0.259933465790723,39.9387366399339
(w|s)&h,w|(h&s),w|h,1921.74,0.26617878028442193,40.77824927698805
w|(h&s),w|s,w|h|s,1956.87,0.2333818134525078,41.46935862292658
(w&h)|s,w|s,w|h|s,1978.29,0.2337956934164736,41.34759600365477
(w|s)&h,(w&h)|s,w|h|s,1990.43,0.24087778310849506,34.796261849093945
h&s,s,h|s,2010.22,0.251297394363434,26.882106319696128
w&h,w,w|h,2020.7,0.2683711766444692,31.500096804478584
w&h,w|s,w|h|s,2023.83,0.2605923424760567,31.55774162930749
(w|s)&h,w|(h&s),w|h|s,2025.62,0.2414211579438499,33.15008244215778
h&s,s,w|h|s,2032.01,0.22991116938498726,26.24317232604123
w&h,(w&h)|s,h|s,2040.82,0.280649255530218,31.481380144466122
w&h,w|(h&s),w|h,2045.23,0.28891591001519434,31.786790237985095
h&s,(w|h)&s,(w&s)|h,2051.23,0.26360314138004515,27.627454199713046
w&(h|s),w|s,w|h|s,2051.83,0.25930527456881314,32.21041349482642
w&h,w&(h|s),(w&s)|h,2053.94,0.28670200080036673,30.90329737152608
h&s,w|s,w|h|s,2053.95,0.26643911821213767,26.03895547051735
(w|h)&s,s,h|s,2054.14,0.2514749656709096,27.50911718555322
h&s,s,(w&h)|s,2055.12,0.14701535003861782,26.088725771853348
(w|s)&h,h|s,w|h|s,2060.21,0.37508358875159425,32.359098161770106
w&(h|s),w,w|h,2065.44,0.2688539646977518,31.113151246765508
h&s,(w&h)|s,h|s,2067.22,0.28314294607285906,25.912576722010755
w&(h|s),(w&h)|s,h|s,2070.37,0.279465830215802,32.02563789211531
(w|s)&h,(w&h)|s,w|s,2071.44,0.12742337485979463,33.01255403069683
w&h,w,w|h|s,2071.75,0.24322277716909674,28.982191310294684
h&s,w|(h&s),w|h,2071.91,0.2921316752182775,25.973215824586347
h&s,(w|h)&s,w|h,2074.98,0.24072966833504003,26.83529468428414
w,w|s,w|h|s,2074.99,0.25981397932804273,32.34828728883324
(w|h)&s,s,w|h|s,2076.35,0.23085309021141165,26.76173393765129
(w|s)&h,(w&s)|h,w|h,2078.09,0.40815557773311484,32.73059526164594
w&h&s,w&s,(w&s)|h,2078.41,0.2292390508751026,25.549114291488664
w&h,(w&h)|s,w|h|s,2079.91,0.2579867627544872,29.126926385152647
h&s,s,w|s,2080.08,0.14214131399605467,25.22072843267495
h,h|s,w|h|s,2080.47,0.43025980858982055,35.45580751674026
h&s,(w|h)&s,h|s,2084.25,0.2351975167653439,26.665867614361744
w&(h|s),w|(h&s),w|h,2084.45,0.28810549514608297,31.814105814077152
w&h,w,w|(h&s),2086.42,0.1491943618152969,30.07569524016369
(w|s)&h,w|h,w|h|s,2087.56,0.3911060544813558,30.91678320314529
w&h,w&(h|s),w|h,2090.31,0.2648705729126904,28.983956862597186
(w|h)&s,w|s,w|h|s,2090.55,0.2714066606865751,26.40837470043253
h&s,(w&h)|s,w|h|s,2091.6,0.25324892610390565,24.917744131818385
w&h&s,w&s,w|h,2096.03,0.2094076243796633,25.034389097244063
(w|h)&s,s,(w&h)|s,2099.4,0.1476214731303164,26.39099465087038
w&h&s,w&s,h|s,2101.4,0.20792238194660626,25.121173013008608
h&s,(w|h)&s,w|h|s,2102.28,0.21804305670062105,26.06098695019111
w&h,w|(h&s),w|h|s,2103.96,0.2559566478865872,28.238789538734718
(w|h)&s,(w&h)|s,h|s,2104.56,0.2881820716506196,26.280551822164593
(w|s)&h,(w&s)|h,h|s,2105.05,0.41535255128395604,30.68980440948997
w&h,w&(h|s),h|s,2105.54,0.2576973369106782,28.24892125861846
w&(h|s),w,w|h|s,2105.77,0.24546859455863837,28.95701704660642
h,(w&s)|h,w|h,2105.89,0.4600237044368737,35.25605162596065
(w|s)&h,w|(h&s),w|s,2106.33,0.15063460119447822,30.356718612155507
(w&s)|h,h|s,w|h|s,2106.66,0.4177325764399665,35.21389111191736
w,w|(h&s),w|h,2108.3,0.28870851814400966,31.77922808026813
h&s,w|(h&s),w|h|s,2109.02,0.2471201008879166,24.460846889015563
w&(h|s),(w&h)|s,w|h|s,2110.38,0.2579646716785237,29.290257904539786
h,w|h,w|h|s,2112.47,0.4680860668243742,32.93194221001784
w&h&s,w&s,w|h|s,2115.77,0.19238194684481488,24.672755658265448
(w|h)&s,w|(h&s),w|h,2116.19,0.2945072042893805,26.08741678661951
w&h&s,w&s,w&(h|s),2122.01,0.14522663967562016,23.95316798711959
w&h,(w|s)&h,h,2122.56,0.35241710007817545,30.172261725026473
(w|h)&s,s,w|s,2124.3,0.14356874819814505,25.40654540285259
w&h,w&(h|s),w,2126.22,0.16758197057464236,30.41093751511881
w&(h|s),w,w|(h&s),2126.46,0.15207198176402256,29.40672260014278
h&s,(w|h)&s,w|(h&s),2126.94,0.1503575404080752,25.023623713844376
h&s,(w|s)&h,h,2127.25,0.33769105965344753,25.18653265667678
w&h,w&(h|s),w|h|s,2128.78,0.24166864448331102,27.154491198375318
(w|s)&h,h,(w&s)|h,2130.07,0.45067385348239053,31.012402861860025
(w|h)&s,(w&h)|s,w|h|s,2130.17,0.25678966059175823,25.112504213847163
(w&h)|s,h|s,w|h|s,2131.86,0.37312453046218985,31.942744481968806
h&s,(w&h)|s,w|s,2132.45,0.16014611287936056,24.201715662881483
w&h&s,s,h|s,2133.06,0.18792979537163776,21.851445391354783
w&(h|s),w|(h&s),w|h|s,2133.39,0.2580921337880755,28.425653687567202
h,(w&s)|h,h|s,2134.8,0.49401717305716675,32.20103997916802
(w&s)|h,w|h,w|h|s,2135.7,0.4504400304052762,32.907515365131026
w&h,(w&h)|s,w|s,2136.88,0.15821866367858373,27.813487683001085
h&s,(w|h)&s,(w&h)|s,2138.6,0.15186944120461207,24.651660582059698
(w|s)&h,(w&s)|h,w|h|s,2138.71,0.4096991533684857,28.59302020418234
w&h,h|s,w|h|s,2138.75,0.3963959137900477,27.456826221127034
w|(h&s),w|h,w|h|s,2139.39,0.38516064176917975,30.95737813543604
s,w|s,w|h|s,2139.58,0.2745612256349287,26.139014215643247
w&h,w,w|s,2139.7,0.16699330334978774,26.631147442747682
w&h&s,w&s,w|(h&s),2143.54,0.12386255394556583,23.271889118588703
h&s,h|s,w|h|s,2144.0,0.37609318502021566,23.9937911034305
(w|h)&s,w|(h&s),w|h|s,2146.72,0.2531270760080164,24.699372862553425
w&h&s,s,w|h|s,2146.86,0.16316988967437257,21.430480527481965
w&h&s,w&s,w,2147.24,0.13493662084260635,23.12395357277726
h&s,w|(h&s),w|s,2149.92,0.15999283638518624,23.637349214960757
w&h&s,w&s,(w&h)|s,2150.94,0.12681201016534113,23.190843364518027
w&h,w&(h|s),w|(h&s),2151.98,0.1723090873439993,26.823728822083332
s,(w&h)|s,h|s,2153.75,0.2903345516477288,25.993623830598878
w&h&s,w,w|h,2154.15,0.21518704937898206,21.927716082882302
w&h,(w&s)|h,w|h,2155.21,0.42812875033068853,27.559116316542653
h&s,(w|h)&s,w|s,2156.71,0.1460570564184576,24.009412805993605
w&h&s,w|s,w|h|s,2156.74,0.2042624103329766,22.081806862613785
w,w|(h&s),w|h|s,2156.86,0.25906182722025245,28.131636402239224
w&h&s,s,(w&h)|s,2157.6,0.10938546999290048,21.586348343747893
w&h,w|h,w|h|s,2157.66,0.4006380078936864,26.71533363628502
h&s,(w&s)|h,w|h,2158.15,0.4025889535238775,23.97985463877656
h&s,w|h,w|h|s,2158.39,0.3726131709303554,23.57698354353072
w&h,w|(h&s),w|s,2160.49,0.16709994465959274,26.591965400619483
w&(h|s),(w&h)|s,w|s,2163.64,0.15706304053598188,27.890688524987777
h&s,(w|s)&h,(w&s)|h,2164.2,0.2731970351824113,23.579091841290982
w&h&s,w&s,w|s,2165.2,0.12067633848748871,22.752747771635935
w&(h|s),h|s,w|h|s,2165.38,0.392601605856155,27.631901540202364
